clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,PE,RB,SG,G,CV,FD,I,FT,DD,DP,GS,PP,GC,ano
264,Corinthians,7,Provável,4,mei,Mateus Vital,93108,25,5,4.15,17,7.68,0.51,7.17,2,1,5,13,40,19,16,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,25,0.5,0.5,1,2.4,-0.6,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Thiago Santos,93151,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Igor Cássio,99661,25,0.7,-0.1,3,1.18,-0.11,1.29,NA,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Jobson,93377,25,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Lucas França,93869,25,0,4,1,2.36,0,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2019
277,Santos,7,Provável,3,zag,Lucas Veríssimo,93368,25,5.4,3.74,22,9.66,0.16,9.5,NA,5,46,9,13,55,44,10,1,2,3,1,2,NA,NA,NA,NA,1,2019
282,Atlético-MG,6,Nulo,4,mei,Alessandro Vinícius,94495,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Michael,93659,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,2,Dúvida,1,gol,Cleiton,93882,25,0,1.97,12,2.39,0,2.39,NA,1,NA,NA,2,8,NA,2,NA,NA,NA,NA,NA,12,1,13,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Felipe,100843,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Ronei,98419,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,1,gol,Tiepo,98412,25,0,3.49,22,13.79,0,13.79,NA,1,NA,NA,3,15,NA,4,NA,NA,NA,NA,NA,37,3,35,NA,NA,2019
277,Santos,6,Nulo,2,lat,Alan Cardoso,93785,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alisson Safira,93782,25,-0.5,0.65,4,3.13,0.06,3.07,1,1,7,NA,6,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Kendy,98421,25,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Marcos Júnior,93893,25,0.2,1.7,17,3.44,-0.67,4.11,NA,4,28,6,24,45,22,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Raphael Veiga,94509,25,0,2.93,8,7.06,0,7.06,NA,NA,6,6,7,8,6,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,John Victor,94044,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Andrey,93787,25,5.9,2.73,14,5.89,0.88,5.01,NA,1,13,5,9,21,20,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Matheus Fernandes,94067,25,2.7,1.7,5,4.03,0.11,3.9200000000000004,NA,NA,1,NA,3,4,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Jarro Pedroso,94542,25,-1.5,-0.5,3,1.05,-0.32,1.37,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Ribamar,94068,25,0.5,2.34,8,2.59,-0.76,3.3499999999999996,NA,NA,11,10,3,6,2,NA,1,NA,5,7,1,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,5,ata,Felipe Vizeu,94138,25,0,0.67,9,2.41,0,2.41,NA,NA,9,4,3,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
