clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,FS,GS,PE,RB,SG,A,CA,FC,FD,FF,FT,G,I,CV,PP,GC,ano
265,Bahia,6,Nulo,4,mei,Max,94982,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Geovane Itinga,94980,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Jaderson,98224,16,0,0,1,0.76,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Felipinho,94981,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Mariano Vázquez,98760,16,0,3.1,3,4.33,0,4.33,NA,NA,8,NA,3,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Fessin,97994,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Gabriel Batista,98333,16,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Bruno Guimarães,98352,16,6,5.28,11,13.45,0.18,13.27,NA,NA,37,NA,34,15,NA,1,1,19,7,8,1,2,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,1,gol,Tiepo,98412,16,5,3.49,16,14.04,-0.03,14.069999999999999,26,2,3,27,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Jefferson,95220,16,5.6,5.4,15,12.21,0.38,11.83,NA,NA,22,NA,40,39,4,NA,2,8,1,3,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Marcinho,95332,16,0,-0.47,3,1.82,0,1.82,NA,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Ronei,98419,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Thalles,95222,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Kanu,98484,16,0,2.6,1,1.41,0,1.41,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Kendy,98421,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Matheus Jesus,95335,16,5.8,2.2,4,4.92,0.67,4.25,NA,NA,7,NA,4,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,2,lat,Orejuela,95352,16,1,2.33,6,4.92,-1.05,5.97,NA,NA,5,NA,9,10,1,NA,1,14,2,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Gregore,95464,16,-0.6,2.19,13,9.63,0.28,9.350000000000001,NA,NA,8,NA,40,42,NA,NA,3,40,1,4,NA,NA,NA,1,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Lucas Bessa,98494,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Igor Vinícius,95466,16,0,3.29,10,7.14,-0.75,7.89,NA,NA,7,NA,16,19,3,2,2,18,1,3,NA,NA,NA,2,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Natan,98497,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Lucas Silva,98515,16,0,0.9,3,1.69,0,1.69,NA,NA,4,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Vico,95622,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,3,zag,Aguilar,95494,16,4,2.93,12,5.56,0.56,5,NA,NA,7,NA,8,16,5,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Caio Henrique,98569,16,0,2.16,15,5.65,0,5.65,NA,NA,15,NA,31,24,NA,1,NA,21,2,3,NA,NA,2,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Kunde,95476,16,0,0.1,4,0.75,0,0.75,NA,NA,1,NA,7,3,1,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Orinho,95542,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Pedrinho,98706,16,0,5.49,11,12.87,0,12.87,NA,NA,19,NA,35,8,NA,1,NA,2,9,4,NA,4,1,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Marcelo Benevenuto,95638,16,0,3.4,4,4.45,0,4.45,NA,NA,1,NA,4,1,1,NA,1,4,NA,1,1,1,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Diego Torres,98794,16,0,2.47,8,4.32,0,4.32,NA,NA,3,NA,11,4,NA,NA,NA,1,2,7,NA,1,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Marquinhos,98765,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Araruna,95660,16,0,0.47,3,3.04,0,3.04,NA,NA,NA,NA,7,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Jean Pyerre,98832,16,0,4.62,8,8.5,0,8.5,NA,NA,10,NA,18,9,NA,1,NA,8,1,7,NA,2,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Lucas Hernández,98822,16,0.7,-1.6,3,1.72,0.16,1.56,NA,NA,4,NA,6,1,NA,NA,2,9,1,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Cláudio Vitor,98888,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Gustavo Bochecha,95798,16,2.3,1.06,10,5.76,0.39,5.37,NA,NA,12,NA,39,14,NA,NA,2,4,1,4,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Lucas Kal,95662,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,6,tec,Zé Ricardo,95780,16,3.45,2.24,2,6.81,0.39,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Lucas Braga,99119,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Michael,99392,16,10.2,4.06,15,8.36,1.46,6.8999999999999995,NA,NA,16,NA,31,15,NA,NA,1,9,13,15,2,2,7,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Piris da Motta,95802,16,4.2,0.65,11,3.82,1.12,2.6999999999999997,NA,NA,8,NA,9,8,NA,NA,2,6,NA,1,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego,99430,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
