clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,PE,RB,CA,DD,GS,SG,DP,FT,I,G,A,CV,PP,GC,ano
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,8,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Nathan,102607,8,4.2,2.37,3,3.26,0.64,2.6199999999999997,1,NA,NA,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Thiago Heleno,38394,8,0,-2.1,2,1.27,0,1.27,2,1,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,8,0,1.2,1,4.3,0,4.3,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,8,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marcelo Cirino,69022,8,-0.5,3.94,8,6.85,-1.25,8.1,6,4,5,7,11,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Nikão,69705,8,-0.1,4.43,6,16.7,-0.24,16.939999999999998,6,6,6,7,8,5,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,8,0,-1.9,2,3.31,0,3.31,3,NA,NA,1,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Ernando,49651,8,8.2,4.64,8,10.78,0.87,9.91,2,NA,NA,4,3,4,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,8,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Nilton,38573,8,0,-0.13,4,3.29,0,3.29,5,NA,1,5,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
