clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FF,FS,FT,I,PE,RB,SG,CV,FD,A,G,DD,GS,PP,DP,GC,ano
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,38,-0.5,1.12,16,2.62,-0.37,2.99,3,18,1,16,NA,1,7,17,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Apodi,51042,38,0,2.77,32,5.8,0,5.8,6,51,14,48,NA,13,53,13,8,NA,14,1,4,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,38,0,4.33,22,9.98,0,9.98,1,23,2,31,1,NA,24,57,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,38,0,0.88,16,4.09,0,4.09,4,5,NA,6,NA,NA,21,9,1,NA,1,NA,1,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,3,zag,Tiago Alves,51495,38,0,2.02,21,5.5,0,5.5,1,15,2,4,1,2,28,13,4,NA,2,1,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,38,0,-2.8,1,1.72,0,1.72,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,1,gol,Victor,52950,38,5,3.49,10,6.42,-0.14,6.56,1,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,20,13,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Réver,52253,38,0,4.44,28,12.41,0,12.41,3,11,14,20,2,2,42,42,7,NA,5,2,1,NA,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,2,lat,Gilson,52674,38,0,1.68,18,5.35,0,5.35,3,20,1,16,NA,NA,37,19,5,2,NA,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,38,0.1,3.42,31,11.37,-0.91,12.28,3,27,17,50,1,1,91,37,NA,NA,11,7,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,38,0,-0.2,4,3.01,0,3.01,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,38,0,1.11,12,5.81,0,5.81,2,6,2,12,NA,1,11,3,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Elias,54395,38,0,1.45,24,8.31,0,8.31,3,29,8,17,1,NA,63,28,NA,1,5,1,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,3,Suspenso,2,lat,Patric,60969,38,0,2.34,23,5.24,0,5.24,5,34,12,8,NA,3,58,24,6,NA,6,2,1,NA,NA,NA,NA,1,2019
285,Internacional,3,Suspenso,2,lat,Uendel,60852,38,0,2.65,20,3.13,0,3.13,3,27,6,5,NA,5,45,26,6,NA,2,2,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,38,0,2.05,10,3.52,0,3.52,5,12,NA,1,NA,NA,12,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Dedé,60819,38,0,5.08,20,14.63,0,14.63,2,14,6,21,NA,NA,45,28,8,NA,4,NA,3,NA,NA,NA,NA,NA,2019
267,Vasco,2,Dúvida,3,zag,Werley,62974,38,0,0.32,8,0.78,0,0.78,NA,6,NA,4,NA,3,5,2,1,NA,3,NA,NA,NA,NA,NA,NA,1,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,38,0,1.77,4,6.18,0,6.18,NA,4,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,38,0,6.14,5,6.1,0,6.1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,12,5,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Lucca,61149,38,0,1.85,17,4.81,-0.64,5.449999999999999,1,15,10,26,NA,1,21,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,38,0,-0.11,10,2.06,0,2.06,2,10,NA,12,NA,NA,7,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,38,1.7,6.04,32,16.04,-1.3,17.34,2,31,33,21,3,8,41,23,NA,NA,18,3,14,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,38,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,38,2.2,0.99,23,5.92,0,5.92,7,9,12,23,1,7,88,9,NA,NA,12,3,1,NA,NA,1,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,38,0,2.48,5,5.52,0,5.52,2,3,3,7,NA,1,9,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Camilo,62009,38,4.9,2.55,28,7.04,0.18,6.86,2,35,20,27,2,5,55,22,NA,NA,13,4,1,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,38,3.1,2.05,32,6.56,0.54,6.02,1,13,22,19,NA,9,15,7,NA,1,9,NA,5,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Pará,62086,38,0,1.8,17,4.09,0,4.09,4,20,1,10,NA,NA,19,19,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,38,0,0.65,8,4.29,0,4.29,NA,2,1,2,NA,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,38,0,7.97,6,22.89,0,22.89,NA,NA,NA,2,NA,NA,4,NA,3,NA,NA,NA,NA,15,6,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,38,10.6,6.21,25,17.15,1.27,15.879999999999999,3,40,5,36,NA,2,88,85,9,NA,1,1,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Robinho,62104,38,0,0.55,27,5.01,0,5.01,8,35,16,28,NA,NA,99,20,NA,NA,7,1,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Maicon,62968,38,0.4,1.08,10,4.93,0.22,4.71,2,9,3,7,NA,2,12,6,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,38,0,-0.67,6,2.22,0,2.22,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA,2019
266,Fluminense,3,Suspenso,4,mei,Ganso,62977,38,0,1.71,27,7.35,0,7.35,8,31,14,37,NA,NA,84,30,NA,NA,13,NA,2,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,38,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Wellington,62129,38,0,-0.75,28,0.78,0,0.78,11,49,3,14,NA,NA,64,17,NA,NA,4,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Alan Ruschel,63110,38,0,1.43,15,4.28,0,4.28,7,23,1,23,NA,1,12,8,3,NA,3,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Douglas,63128,38,1,1.11,26,2.74,0.59,2.1500000000000004,9,28,5,9,NA,NA,19,17,5,NA,2,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,3,Suspenso,3,zag,Paulão,63172,38,0,3.4,12,6.12,0,6.12,1,9,1,4,NA,NA,19,12,4,1,1,NA,2,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,38,0.5,2.92,27,6.02,-1.1,7.119999999999999,7,51,9,21,NA,2,49,49,5,1,4,2,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,38,0,1.29,14,4.69,0,4.69,3,15,3,15,NA,NA,21,17,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,38,3,2.44,30,8.39,0.17,8.22,8,30,5,24,NA,NA,63,31,NA,NA,9,2,5,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Luan,63219,38,0,3.65,27,9.45,0,9.45,5,54,24,53,NA,6,79,51,NA,NA,6,1,4,NA,NA,1,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,38,0,2.22,17,7.95,0,7.95,3,20,6,19,1,5,18,10,NA,NA,6,2,2,NA,NA,1,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Rodrigo Moledo,63354,38,0,3.97,17,6.4,0,6.4,2,11,6,12,NA,NA,15,22,5,NA,4,NA,1,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Bergson,68696,38,0,2.73,22,4.94,0,4.94,3,23,16,31,NA,12,21,11,NA,NA,17,1,3,NA,NA,1,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,38,0,2.26,13,6.66,0,6.66,4,24,4,15,NA,1,25,28,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,38,0,2.3,12,4.96,0,4.96,2,14,NA,4,NA,NA,14,11,4,NA,1,NA,1,NA,NA,NA,NA,1,2019
283,Cruzeiro,7,Provável,2,lat,Dodô,68727,38,2.1,3.65,18,6.2,-0.8,7,2,27,2,6,1,1,40,28,8,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Camacho,68770,38,5.2,2.14,11,4.43,0.43,3.9999999999999996,2,19,1,6,NA,NA,20,22,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,38,0,5.02,16,5.23,0,5.23,NA,14,2,8,NA,1,30,17,7,1,4,3,2,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Henrique Almeida,68773,38,0,4.03,12,5.23,0,5.23,3,11,12,11,NA,1,16,11,NA,NA,8,NA,3,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,38,0,3.18,8,5.28,0,5.28,NA,14,2,6,NA,NA,13,17,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,38,7.5,4.16,34,11.94,0.79,11.149999999999999,1,NA,1,10,NA,NA,5,NA,11,1,NA,NA,NA,50,34,NA,1,NA,2019
266,Fluminense,3,Suspenso,3,zag,Digão,68886,38,0,3.82,20,7,0,7,3,27,4,14,NA,1,20,32,9,2,1,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Paulo Victor,68873,38,0,4.54,28,8.06,0,8.06,1,NA,NA,3,NA,NA,15,NA,12,NA,NA,NA,NA,38,21,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,38,1,4.92,29,12.62,-0.11,12.729999999999999,4,39,8,43,1,2,70,43,10,NA,9,4,2,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,38,1.5,2.03,21,5.28,0.29,4.99,1,5,10,26,NA,1,28,10,NA,NA,6,1,1,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,38,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Gum,68887,38,0,1.56,20,5.21,0,5.21,1,11,7,14,NA,2,45,13,4,2,7,NA,1,NA,NA,NA,NA,1,2019
263,Botafogo,3,Suspenso,5,ata,Diego Souza,68911,38,0,2.6,32,5.67,0,5.67,6,34,14,57,2,11,58,10,NA,NA,11,1,7,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,38,-1.1,3.78,27,10.18,-1.22,11.4,5,15,8,4,1,4,15,33,10,NA,2,1,1,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,38,0,0.65,19,1.84,0,1.84,6,28,9,6,NA,3,40,13,NA,NA,6,3,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Roberto,71116,38,-0.6,3.81,16,4.12,-0.63,4.75,2,22,19,32,NA,1,25,17,3,NA,6,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,38,7.3,5.77,31,18.9,-2.06,20.959999999999997,4,33,28,114,2,9,92,14,NA,NA,27,5,9,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Raúl Cáceres,71680,38,0,-0.14,7,1.8,0,1.8,1,13,NA,1,NA,2,9,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,5,Contundido,3,zag,Gustavo Gómez,71684,38,0,3.8,18,12.16,0,12.16,6,19,3,16,1,2,19,25,6,1,4,NA,2,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Geovane,71667,38,0,0.22,16,2.2,0,2.2,5,39,8,9,NA,NA,35,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,4,mei,Elton,71719,38,0,1.71,9,5.22,0,5.22,1,19,4,NA,NA,NA,15,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Vinícius,71162,38,3.4,2.66,23,5.05,0.33,4.72,2,11,16,21,2,1,66,16,NA,1,14,2,2,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Leonardo Silva,68925,38,-0.4,1.38,18,3.82,-0.19,4.01,5,17,4,16,1,NA,18,12,1,NA,3,NA,1,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Guarín,71233,38,-0.7,3.02,11,7.56,-1.09,8.65,3,11,9,11,NA,NA,29,8,NA,NA,4,NA,3,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,38,0,2.73,3,3.99,0,3.99,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,5,6,NA,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Agenor,71724,38,0,2.37,6,3.05,0,3.05,NA,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,9,7,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,38,0,1.76,12,4.32,0,4.32,1,16,8,15,NA,NA,37,14,NA,1,6,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,6,tec,Jorge Jesus,71224,38,-0.42,5.48,28,14.45,-1.74,16.189999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,38,-0.8,1.41,34,4.85,-0.19,5.04,9,33,3,8,NA,1,51,29,10,NA,3,NA,NA,NA,NA,NA,NA,1,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,38,0.9,1.25,24,3.54,-0.25,3.79,2,30,8,27,NA,3,4,7,NA,NA,11,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,4,mei,Marquinhos Gabriel,68954,38,0.1,1.38,28,3.66,-0.12,3.7800000000000002,3,13,9,21,1,2,32,17,NA,NA,5,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Lucho González,71479,38,0,0.6,17,4.16,0,4.16,1,19,7,6,NA,NA,25,6,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,38,0,1.68,6,4.15,0,4.15,1,9,6,5,NA,NA,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
354,Ceará,6,Nulo,4,mei,Juninho Quixadá,71787,38,0,1.4,6,3.59,0,3.59,NA,3,4,5,1,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Marinho,68952,38,11,5.48,29,10.16,1.77,8.39,12,42,29,85,2,8,44,31,NA,1,20,4,8,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,38,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Thiago Galhardo,71844,38,9.4,4.91,34,12.8,1.59,11.21,4,35,31,51,2,11,86,27,NA,NA,25,1,12,NA,NA,1,NA,NA,2019
341,CSA,3,Suspenso,4,mei,João Vitor,68987,38,0,1.67,20,3.86,0,3.86,5,42,3,13,NA,1,30,49,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,João Carlos,69010,38,0,1.5,11,0.78,0,0.78,1,1,NA,1,NA,NA,5,NA,1,1,NA,NA,NA,18,17,NA,NA,NA,2019
267,Vasco,7,Provável,1,gol,Fernando Miguel,71571,38,0,4.12,28,7.85,0.29,7.56,2,NA,NA,4,NA,NA,9,NA,10,NA,NA,NA,NA,40,25,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Júnior Urso,71829,38,1.2,2.54,25,6.69,-0.05,6.74,4,33,12,25,NA,1,40,32,NA,NA,12,NA,2,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,3,zag,Fábio Sanches,71604,38,1.5,2.92,24,4.24,-0.3,4.54,3,17,6,20,NA,NA,20,23,6,NA,3,NA,1,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,1,gol,Diogo Silva,71882,38,-1.8,3.08,37,9.48,-0.49,9.97,2,NA,NA,14,NA,NA,17,1,8,NA,NA,NA,NA,51,39,NA,NA,NA,2019
