clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,A,CA,FD,FF,FS,FT,G,I,PE,RB,CV,PP,DD,DP,GS,SG,GC,ano
265,Bahia,6,Nulo,5,ata,Caíque,104591,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Sandry,104580,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,1,gol,João Carlos,69010,28,8,2.23,6,2.28,1.13,1.15,1,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,NA,10,NA,7,1,NA,2019
284,Grêmio,6,Nulo,4,mei,Darlan,104593,28,0,1.1,8,1.72,0,1.72,7,NA,NA,1,2,1,NA,NA,NA,10,8,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Felipe Baxola,71113,28,5.4,1.23,14,4.62,0.25,4.37,10,2,2,4,5,3,NA,NA,NA,20,8,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,28,-2,3.37,19,6.47,-0.57,7.04,1,NA,1,NA,NA,4,NA,NA,NA,18,NA,NA,NA,23,1,18,6,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Weverton,104625,28,0,3.25,4,2.61,0,2.61,1,NA,NA,NA,1,3,NA,NA,NA,11,3,NA,NA,NA,NA,NA,2,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hélio Júnior,104622,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Douglas Borel,104634,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Heitor,104649,28,-3.1,3.08,11,1.43,-1.3,2.73,14,1,2,4,4,19,NA,NA,NA,35,12,NA,NA,NA,NA,NA,3,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,28,-0.5,4.73,26,7.23,-0.85,8.08,NA,NA,2,NA,NA,3,NA,NA,NA,5,NA,NA,NA,54,NA,35,7,NA,2019
263,Botafogo,6,Nulo,2,lat,Lucas Barros,104650,28,0,0.72,7,0.83,0,0.83,7,NA,1,NA,NA,2,NA,NA,NA,5,4,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,2,Dúvida,5,ata,Marcelo Cirino,69022,28,0,4.46,22,9.72,0,9.72,18,2,NA,7,16,20,1,7,6,32,13,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Lucas Alves,104651,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Manoel,69014,28,4.2,4.13,21,11.14,0.67,10.47,20,NA,1,2,5,9,NA,1,NA,25,25,NA,NA,NA,NA,NA,11,1,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,28,-1,-1,2,0.77,-0.02,0.79,4,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,1,gol,Muriel,69041,28,7,5.53,16,7.67,-0.05,7.72,1,NA,1,NA,NA,5,NA,NA,NA,5,NA,NA,NA,33,NA,17,5,NA,2019
341,CSA,2,Dúvida,2,lat,Warley,104646,28,2.5,0.95,4,2.01,0.42,1.5899999999999999,2,NA,NA,1,1,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,28,0,8.23,3,7.35,0,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,NA,2,1,NA,2019
263,Botafogo,6,Nulo,5,ata,Luis Henrique ,105049,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Wagner Leonardo,104994,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Paulo Roberto,69047,28,0,0.68,4,3.66,0,3.66,5,NA,NA,NA,1,7,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Igo,104991,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Ricardo Bueno,69141,28,4.9,3.73,19,14.56,-0.65,15.21,24,2,3,7,8,26,NA,6,13,20,13,NA,1,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Tiago Reis,104678,28,0,1.74,8,4.08,0,4.08,13,1,1,1,3,3,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,2019
