clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FD,FF,FS,G,PE,RB,FC,SG,I,A,DD,GS,FT,DP,GC,PP,CV,ano
266,Fluminense,6,Nulo,4,mei,Allan,96652,9,-5.1,-0.45,8,0.9,-0.84,1.74,4,3,4,11,NA,28,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
284,Grêmio,6,Nulo,2,lat,Guilherme Guedes,100741,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,9,-1.8,2.22,9,8.46,-0.66,9.120000000000001,1,4,4,10,1,10,4,9,NA,3,1,NA,NA,1,NA,NA,1,NA,2019
266,Fluminense,5,Contundido,3,zag,Léo Santos,95820,9,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Paulo Miranda,68817,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,5,ata,Yony González,97080,9,0,4.9,7,11.25,0,11.25,NA,NA,13,12,2,7,5,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Marcos Calazans,97452,9,1.9,0.17,3,2.38,0.36,2.02,1,1,NA,2,NA,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,9,6.8,4.41,8,6.63,0.66,5.97,NA,NA,NA,NA,NA,9,NA,NA,4,NA,NA,10,6,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Brenno,100830,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Michel,71920,9,5.7,2.07,7,5.27,0.43,4.84,1,2,1,NA,NA,9,21,11,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2019
277,Santos,7,Provável,5,ata,Marinho,68952,9,2.7,3.2,5,6.2,-0.49,6.69,1,5,4,7,NA,9,6,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Leonardo,86973,9,5.2,3.07,8,6.36,0.3,6.0600000000000005,2,4,3,1,NA,17,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Lucas Santos,101718,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Thaciano,87470,9,4.4,1.51,7,4.24,0.58,3.66,1,2,2,5,NA,8,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Alisson,81845,9,2.5,3.87,6,6.86,0.04,6.82,2,3,2,9,NA,10,9,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Luan,86759,9,0,3,4,10.15,0,10.15,NA,4,NA,5,NA,11,1,2,NA,1,1,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Rodriguez,91251,9,7.2,7.8,4,5.3,0.08,5.22,NA,NA,NA,1,NA,6,9,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Thonny Anderson,101484,9,0,0.2,3,2.57,0,2.57,NA,1,1,3,NA,8,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,9,18.6,4.02,6,9.26,3.54,5.72,2,6,6,4,1,3,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Pepê,91201,9,1.5,1.2,5,3.49,-0.79,4.28,1,1,2,NA,1,6,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Soteldo,87258,9,2.3,2.76,8,6.01,-0.31,6.319999999999999,3,7,5,6,1,21,9,7,NA,4,NA,NA,NA,1,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Éderson,103099,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Emanuel,100840,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,9,0,0.85,2,1.69,0,1.69,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Felipe Vizeu,94138,9,-0.2,0.67,9,2.41,-0.27,2.68,NA,NA,4,3,1,7,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,5,ata,Marrony,101717,9,3.1,4.29,8,12.48,-0.18,12.66,NA,5,9,16,NA,18,13,9,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Antonini,103069,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,9,0,3.5,3,5.46,0,5.46,1,NA,1,4,NA,6,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,João Paulo,85425,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
