clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,PE,RB,SG,A,CV,FS,I,CA,G,DD,GS,DP,FT,PP,GC,ano
282,Atlético-MG,7,Provável,2,lat,Patric,60969,30,7.8,1.88,16,4.88,1.23,3.65,26,4,7,42,14,3,1,NA,6,1,3,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,30,0,-2.8,1,1.72,0,1.72,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,3,zag,Tiago Alves,51495,30,0,2.27,18,5.9,0,5.9,14,1,2,28,13,4,1,NA,2,2,1,1,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,30,0,2.48,5,5.52,0,5.52,3,1,3,9,4,NA,NA,NA,7,1,2,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,30,0,-0.39,8,2.38,0,2.38,10,NA,NA,7,5,NA,NA,1,11,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Gilberto,61188,30,0,6.27,24,16.18,0,16.18,26,11,25,28,19,NA,3,NA,13,7,1,11,NA,NA,NA,2,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Lucca,61149,30,-0.3,2.05,13,4.94,-0.45,5.390000000000001,14,9,6,16,10,NA,NA,NA,21,1,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Rafael Pereira,51194,30,4.2,0.85,14,4.32,-0.08,4.4,5,1,NA,20,8,1,NA,NA,4,NA,4,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,30,-1.9,3.21,13,3.12,-2.27,5.390000000000001,16,2,4,31,20,4,1,NA,5,4,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,30,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Walter,51413,30,0,6.97,4,6.45,0,6.45,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,8,3,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,30,0,0.98,12,4.09,0,4.09,5,NA,3,24,5,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Pará,62086,30,-0.8,2.2,13,4.28,-0.48,4.76,16,NA,1,14,13,5,NA,NA,7,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Camilo,62009,30,3,2.63,22,6.75,-0.19,6.94,31,10,18,50,18,NA,4,NA,21,5,2,1,NA,NA,NA,1,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,30,0,-0.04,7,3.5,-0.14,3.64,2,NA,1,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,D'Alessandro,62023,30,-0.2,0.82,16,5.64,-0.19,5.83,5,9,7,54,5,NA,1,NA,14,6,4,1,NA,NA,NA,1,1,NA,2019
265,Bahia,7,Provável,5,ata,Fernandão,62033,30,12.6,2.18,25,8.05,2.02,6.030000000000001,10,9,17,13,6,NA,NA,1,17,7,1,4,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Robinho,62104,30,0,0.48,21,4.94,0,4.94,31,5,13,91,18,NA,1,NA,21,NA,7,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,30,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,4,mei,Ralf,52190,30,3.9,4.82,20,11.01,-0.94,11.95,21,2,2,24,57,NA,NA,NA,31,NA,1,1,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,30,-2.6,4.71,22,11.15,-1.46,12.61,10,5,11,34,37,4,2,NA,18,1,2,1,NA,NA,NA,2,NA,NA,2019
