clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,I,PE,RB,SG,CV,FD,DD,GS,G,DP,PP,FT,GC,ano
290,Goiás,3,Suspenso,2,lat,Daniel Guedes ,88225,31,0,2.31,14,5.6,0,5.6,NA,2,23,2,7,2,35,22,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato Kayzer,92696,31,0,1.21,11,2.18,0,2.18,NA,NA,10,2,8,2,5,4,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Gabriel Dias,88368,31,0,2.14,23,7.19,0,7.19,NA,5,30,4,31,1,20,31,NA,1,4,NA,NA,2,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Juninho,92182,31,1.4,3.45,21,6.2,0.37,5.83,NA,1,19,4,12,1,39,16,10,NA,4,NA,NA,1,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Vinícius Tanque,88651,31,0,-0.43,6,1,0,1,NA,NA,9,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Ronaldo,92981,31,0,2.9,13,4.39,0,4.39,1,3,18,3,10,NA,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,5,ata,Deyverson,92708,31,-1,3.59,17,9.37,-0.32,9.69,2,3,22,19,48,21,29,8,NA,NA,10,NA,NA,3,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,2,lat,Marcinho,93797,31,0,3.32,22,7.3,0,7.3,4,2,30,13,17,1,59,18,5,NA,7,NA,NA,1,NA,NA,1,NA,2019
315,Chapecoense,5,Contundido,5,ata,Thiago Santos,93151,31,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,William Oliveira,94297,31,1.3,1.45,12,2.59,-0.51,3.0999999999999996,NA,5,15,5,15,1,8,16,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Keiller,93834,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,1,gol,Cleiton,93882,31,19.5,2.43,18,5.8,3.71,2.09,1,1,NA,NA,6,NA,14,NA,4,NA,NA,19,21,NA,1,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Mateus Vital,93108,31,-0.8,3.97,23,7.17,-1.52,8.69,2,1,12,17,51,1,24,20,NA,NA,10,NA,NA,2,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Lucas França,93869,31,0,4,1,2.36,0,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Lucas Veríssimo,93368,31,5,3.74,27,9.87,0.29,9.58,1,7,55,11,17,1,59,54,11,2,3,NA,NA,1,NA,NA,2,1,2019
277,Santos,6,Nulo,4,mei,Jobson,93377,31,0,0.73,3,3,0,3,NA,2,3,NA,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marcos Júnior,93893,31,0,1.5,20,3.36,0,3.36,NA,4,34,6,26,NA,49,24,NA,NA,4,NA,NA,1,NA,NA,1,NA,2019
277,Santos,6,Nulo,1,gol,John Victor,94044,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Joel Carli,93414,31,-1,1.01,21,5.45,-0.22,5.67,NA,8,22,3,16,1,45,15,5,NA,1,NA,NA,NA,NA,NA,1,NA,2019
