clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,GS,PE,SG,A,FC,FS,RB,FD,FF,FT,G,PP,I,CA,CV,GC,ano
314,Avaí,6,Nulo,3,zag,Maurício,96464,12,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Fernando,99550,12,0,3.2,8,4.54,0,4.54,NA,NA,NA,16,4,1,15,7,6,2,NA,NA,NA,NA,NA,1,NA,NA,2019
266,Fluminense,5,Contundido,2,lat,Mascarenhas,99721,12,0,-2.3,1,1.75,0,1.75,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Igor Cássio,99661,12,0,-0.5,2,1.29,0,1.29,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
277,Santos,6,Nulo,4,mei,Sandry,104580,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,André,104080,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Daniel,96468,12,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Caíque,104591,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alessandro,104081,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Darlan,104593,12,4.2,1.3,3,1.73,0.97,0.76,NA,NA,NA,3,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Abner Vinícius,104513,12,5,5,1,5.57,0.57,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Carlos Miguel,104084,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Brenner,99789,12,0,1.94,5,2.68,0,2.68,NA,NA,NA,3,NA,NA,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hélio Júnior,104622,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Bruno Fuchs,104085,12,4.4,4.4,1,2.41,0.41,2,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Allan,96652,12,-2,-0.62,9,1.01,0.11,0.9,NA,NA,NA,29,NA,NA,25,13,11,3,5,NA,NA,NA,NA,5,1,NA,2019
264,Corinthians,6,Nulo,1,gol,Filipe,100712,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Richard Franco,99802,12,6.6,3.75,2,3.62,1.77,1.85,NA,NA,NA,5,NA,NA,1,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,3,zag,Roberto,104086,12,0,0.17,3,1.69,0,1.69,NA,NA,NA,5,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Wálber,96791,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Douglas Borel,104634,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Weverton,104625,12,-0.5,4.43,3,3.08,-0.99,4.07,NA,NA,NA,10,2,NA,1,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Lucas Barros,104650,12,-0.5,0.5,2,0.76,-0.32,1.08,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Matheus Stockl,104088,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Pedro Lucas,104087,12,-0.5,-0.25,2,2.87,-0.19,3.06,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Chará,99891,12,4,4.48,11,11.39,0.47,10.92,NA,NA,NA,29,NA,NA,4,17,11,4,6,1,3,NA,3,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Lucas Alves,104651,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Gerson,104089,12,0,2.48,9,5.4,0,5.4,NA,NA,NA,10,3,NA,5,1,9,NA,1,NA,NA,NA,NA,1,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Heitor,104649,12,0,1.25,2,1.2,0,1.2,NA,NA,NA,9,NA,NA,1,4,3,1,NA,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Ricardo,99881,12,0,3.61,10,7.85,0,7.85,NA,NA,NA,20,1,NA,6,7,18,1,3,NA,1,NA,NA,1,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Tiago Reis,104678,12,0,2.62,5,4.94,0,4.94,NA,NA,NA,3,NA,1,11,2,2,1,1,1,1,NA,1,1,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Falcão,104104,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Lucas Campos,99903,12,3,1.5,3,1.72,0.54,1.18,NA,NA,NA,1,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Arthur Gomes,96966,12,0.7,1.73,9,3.68,-0.15,3.83,NA,NA,NA,11,NA,NA,4,14,6,NA,3,1,NA,NA,1,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Luan Pereira,99900,12,0,1.14,8,2.75,0,2.75,NA,NA,NA,9,NA,1,7,10,7,1,2,NA,NA,NA,NA,4,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,12,1.98,3.64,12,10.56,-0.49,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Brizuela,104819,12,0,2.98,4,6.71,0,6.71,NA,NA,NA,3,NA,NA,2,2,3,NA,1,NA,1,NA,1,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gerson Júnior,104824,12,0,0,2,0.75,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Patrick,99918,12,0.2,0.95,4,1.35,-0.17,1.52,NA,NA,NA,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,João Victor,104250,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Wagner Leonardo,104994,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,12,0,2.6,4,6.27,0,6.27,NA,NA,NA,3,NA,2,2,2,2,NA,1,NA,NA,NA,1,1,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Jaques,104128,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Igo,104991,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,João Lucas,104257,12,0,4.7,1,2.61,0,2.61,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
