clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,PP,RB,A,FT,DD,GS,SG,CV,DP,GC,ano
285,Internacional,2,Dúvida,5,ata,Rafael Sobis,37798,19,7.4,4.68,13,8.67,-0.29,8.959999999999999,3,9,15,13,10,2,NA,17,NA,8,3,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Oswaldo de Oliveira,36940,19,4.43,4.14,3,7.52,0.29,7.2299999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,19,7.4,5.19,8,10.42,0.22,10.2,3,11,NA,NA,9,NA,NA,15,NA,12,3,NA,NA,NA,4,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Evandro,37614,19,0,1.12,5,5.04,0,5.04,NA,6,1,1,3,NA,NA,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,19,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,4,mei,Thiago Neves,38277,19,0.9,4.26,15,7.98,-0.54,8.52,4,13,11,19,14,4,2,28,NA,5,2,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,19,0,3.12,18,7.89,0,7.89,2,21,3,6,22,NA,NA,23,NA,42,NA,NA,NA,NA,NA,1,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,19,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,19,1.3,2.25,15,5.98,-1.52,7.5,4,17,7,6,20,3,9,33,NA,3,2,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,3,Suspenso,5,ata,Wellington Paulista,38279,19,-2.9,4.09,15,9.86,-1.48,11.34,3,30,13,11,22,5,6,23,NA,6,1,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,19,1.2,2.01,14,8.12,-1.04,9.16,NA,10,11,4,11,2,4,31,1,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,4,mei,Maicon,38196,19,0,1.98,5,7.81,0,7.81,3,6,1,2,2,NA,NA,18,NA,7,2,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,19,-0.3,-0.15,9,2.97,-0.22,3.1900000000000004,2,4,NA,5,1,NA,NA,16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Fábio Santos,38229,19,3.7,2.48,15,9.92,1.1,8.82,2,13,1,1,14,2,2,26,NA,11,NA,NA,NA,NA,3,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Adriano,38336,19,0,3.13,3,10.25,0,10.25,2,3,NA,1,1,NA,NA,8,NA,4,NA,NA,NA,NA,2,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,19,0,5,4,5.35,0,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,3,zag,Thiago Heleno,38394,19,0,-2.1,2,1.27,0,1.27,2,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,19,5,5.16,15,7.88,-0.8,8.68,NA,NA,NA,NA,1,NA,NA,7,NA,2,NA,NA,20,14,6,NA,2,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,19,5.2,5.2,15,8.04,-0.03,8.069999999999999,NA,6,6,7,13,1,NA,41,NA,24,NA,NA,NA,NA,6,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,19,0,0.16,8,2.88,0,2.88,3,9,NA,2,6,NA,NA,11,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,19,0,2.08,11,6.34,0,6.34,2,14,NA,8,6,NA,1,23,NA,16,NA,1,NA,NA,1,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,19,0,0.92,6,4.97,0,4.97,1,8,NA,2,4,NA,NA,12,NA,9,NA,1,NA,NA,1,2,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,19,3.3,1.23,8,6.23,0.05,6.180000000000001,5,15,2,9,12,1,NA,16,NA,9,NA,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,19,-1.6,5.71,8,9.59,-0.64,10.23,4,4,2,1,8,2,2,15,NA,12,1,NA,NA,NA,3,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,19,8.3,5.27,6,13.19,-0.14,13.33,NA,15,NA,NA,2,NA,NA,18,NA,19,NA,NA,NA,NA,3,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,19,-0.1,2.62,13,8.03,-0.03,8.059999999999999,2,14,NA,NA,18,NA,NA,43,NA,16,1,NA,NA,NA,4,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,19,3.7,4.26,13,13.62,-0.83,14.45,2,12,10,12,14,1,1,14,NA,9,4,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,4,mei,D'Alessandro,62023,19,0,1.25,9,6.49,0,6.49,NA,NA,5,4,6,1,3,33,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,19,0,-0.45,7,4.65,0,4.65,1,1,NA,2,3,NA,2,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,19,0,2.86,12,6.9,0,6.9,1,16,7,8,12,NA,3,27,NA,12,3,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,19,0,3.56,7,6.23,0,6.23,1,7,4,3,2,1,1,6,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,19,0,1.53,9,5.52,0,5.52,5,10,6,7,16,NA,NA,25,1,9,NA,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Vinícius,71162,19,2.2,3.35,13,4.99,-1.07,6.0600000000000005,2,10,10,12,14,2,1,48,NA,10,1,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,19,0.8,2.06,17,6.33,0.06,6.2700000000000005,NA,5,6,13,12,2,4,9,NA,5,NA,NA,NA,NA,NA,1,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,19,0,7.97,6,22.89,0,22.89,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,15,6,3,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,19,0,-0.5,2,4.06,0,4.06,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Wellington,62129,19,0,-1.16,13,0.77,0,0.77,5,22,NA,1,3,NA,NA,28,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,19,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,19,0,-1.08,5,0.75,0,0.75,NA,4,3,NA,1,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
277,Santos,6,Nulo,2,lat,Pará,62086,19,0,1.69,8,4.4,0,4.4,3,7,NA,NA,5,NA,NA,10,NA,9,NA,NA,NA,NA,2,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,19,9.2,6.04,12,16.71,0.87,15.840000000000002,1,20,NA,3,14,1,NA,40,NA,36,1,NA,NA,NA,4,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,19,0,2.52,5,6.05,0,6.05,1,4,NA,1,3,NA,1,4,NA,4,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Robinho,62104,19,0,0.88,13,6.15,0,6.15,5,21,3,9,14,1,NA,61,NA,13,1,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,19,9.1,2.44,13,9.04,1.81,7.229999999999999,4,13,6,10,15,2,NA,45,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,David Braz,50317,19,10.8,4.03,8,8.69,1.91,6.779999999999999,NA,3,1,4,1,1,NA,9,NA,9,NA,NA,NA,NA,2,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,19,0,2.67,12,9.56,0,9.56,3,25,4,1,10,1,1,18,NA,22,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,19,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,19,0,-0.67,6,2.22,0,2.22,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,7,12,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Kayke,50402,19,0,3.86,17,7.31,-0.25,7.56,3,16,6,16,7,6,5,29,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,19,3.7,2.16,7,5.84,-0.04,5.88,1,10,NA,1,6,NA,1,9,NA,11,NA,NA,NA,NA,2,1,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,19,0,0.9,5,4.67,0,4.67,NA,8,1,1,2,NA,1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,19,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Douglas,63128,19,0,0.3,10,3.12,0,3.12,5,15,NA,4,2,NA,NA,9,NA,6,NA,NA,NA,NA,2,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,19,0,1.39,13,5.3,0,5.3,3,14,2,3,14,NA,NA,21,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,19,0,2.8,7,7.02,0,7.02,3,14,2,2,12,NA,1,18,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,19,0,3.96,12,9.34,0,9.34,3,10,4,1,12,4,NA,27,NA,12,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Léo,50459,19,-1.9,1.92,13,6.34,-0.42,6.76,1,16,NA,NA,4,NA,NA,15,NA,15,NA,NA,NA,NA,3,NA,NA,NA,2019
354,Ceará,2,Dúvida,4,mei,Pedro Ken,50877,19,0,1.3,8,3.33,0,3.33,1,7,NA,NA,9,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,19,-1.2,3.09,14,5.66,-0.72,6.38,3,30,3,6,12,1,1,32,NA,28,2,NA,NA,NA,1,1,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,19,0,9.63,3,8.01,0,8.01,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,7,1,2,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,19,4.6,1.88,17,5.16,0.07,5.09,3,30,4,4,18,1,3,35,NA,10,NA,NA,NA,NA,5,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,19,0,4.47,7,6.55,0,6.55,1,2,1,1,1,1,NA,4,NA,10,NA,NA,NA,NA,2,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Luan,63219,19,0,3.43,11,8.38,0,8.38,2,17,3,8,25,NA,NA,36,1,25,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Rafael Pereira,51194,19,-2.3,1.04,5,3.55,-0.12,3.67,2,2,NA,NA,2,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,19,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Bergson,68696,19,0.2,1.19,10,4.02,-0.14,4.159999999999999,1,11,6,9,9,NA,5,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,19,0,0.98,12,4.09,0,4.09,NA,5,NA,3,3,NA,NA,24,NA,5,NA,NA,NA,NA,2,NA,NA,NA,2019
354,Ceará,6,Nulo,2,lat,Thiago Carleto,51700,19,0,2.6,4,7.44,0,7.44,NA,4,2,1,2,NA,NA,16,NA,2,NA,NA,NA,NA,2,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,19,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Everton Ribeiro,51772,19,11.7,4.03,16,13.59,0.96,12.629999999999999,1,14,4,7,30,1,1,48,NA,20,5,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,19,0,3.84,11,10.31,0,10.31,1,10,1,1,20,NA,NA,16,NA,26,NA,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Alan Ruschel,63110,19,0,0.26,7,3.75,0,3.75,4,18,2,1,14,NA,NA,8,NA,4,NA,NA,NA,NA,1,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,19,0,3.05,11,5.86,0,5.86,1,15,2,2,5,NA,1,28,NA,15,NA,1,NA,NA,4,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,19,6,1.8,10,6.31,1.4,4.91,1,9,NA,2,1,1,2,17,NA,7,NA,NA,NA,NA,2,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,André,68690,19,0,2.27,10,8.69,0,8.69,1,10,4,4,11,1,3,11,1,6,1,1,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,19,0,1.37,9,6.11,0,6.11,1,5,NA,1,12,2,1,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Henrique Almeida,68773,19,0,2.93,3,4.19,0,4.19,1,1,1,3,4,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,19,0,1.9,9,3.03,0,3.03,5,10,NA,NA,1,NA,NA,10,NA,13,NA,NA,NA,NA,3,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,19,3,6.08,14,12.99,-1.84,14.83,3,18,3,4,21,1,NA,32,NA,23,3,NA,NA,NA,7,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,19,10.7,2.8,7,5.85,1.24,4.609999999999999,1,8,1,NA,3,NA,NA,7,NA,10,NA,NA,NA,NA,3,NA,NA,1,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,19,0,2.25,14,5.1,0,5.1,2,15,NA,1,12,NA,NA,33,NA,14,1,NA,NA,NA,5,1,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,19,0,1.2,1,4.3,0,4.3,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Réver,52253,19,2.9,4.08,15,11.68,0.08,11.6,1,3,2,5,10,NA,1,21,NA,28,NA,1,NA,NA,3,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,19,0,3.32,9,6.56,0,6.56,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,17,11,1,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,19,0.7,3.18,8,5.28,-0.02,5.3,NA,14,1,2,6,NA,NA,13,NA,17,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Rafael Galhardo,68821,19,9.6,6.26,7,5.49,0.78,4.71,NA,2,2,2,4,1,1,14,NA,7,2,NA,NA,NA,3,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Elias,54395,19,4.4,1.68,16,9.17,0.65,8.52,2,22,3,3,13,1,NA,49,NA,22,1,1,NA,NA,NA,1,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,19,0,4.61,16,11.92,0,11.92,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,24,15,6,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,19,0,-0.5,2,3.15,0,3.15,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,19,8,4.06,12,6.69,0.38,6.3100000000000005,NA,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,16,11,5,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Rodriguinho,61033,19,0,2.48,5,5.52,0,5.52,2,3,1,3,7,1,1,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Patric,60969,19,-1.2,1.87,11,3.63,-0.56,4.1899999999999995,3,20,2,5,3,NA,NA,31,NA,12,1,NA,NA,NA,3,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Gum,68887,19,0,1.93,18,6.1,0,6.1,NA,8,6,7,13,1,2,41,NA,10,NA,NA,NA,NA,4,1,NA,1,2019
285,Internacional,2,Dúvida,2,lat,Uendel,60852,19,0,4.08,6,3.39,0,3.39,NA,9,1,3,2,NA,3,17,NA,14,NA,NA,NA,NA,2,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,19,0,5.28,14,15.9,0,15.9,2,11,4,6,15,2,NA,31,NA,23,NA,NA,NA,NA,5,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Jean Mota,78548,19,0,2.17,15,8,0,8,NA,14,6,4,19,1,NA,23,NA,7,1,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,19,7.5,7.34,15,16.91,0.16,16.75,NA,15,6,11,11,10,6,20,NA,10,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Lucca,61149,19,-0.8,2.36,9,5.32,-1.04,6.36,1,11,8,6,17,NA,1,14,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,19,-0.5,0.63,14,1.56,-0.13,1.69,5,19,4,7,4,NA,2,32,NA,11,2,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,19,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,19,0,-0.73,7,1.97,0,1.97,2,9,NA,NA,9,NA,NA,7,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,19,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,5,ata,Wellington Silva,68895,19,0,2.97,10,5.72,0,5.72,1,2,4,5,20,1,NA,17,NA,4,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,5,ata,Dudu,68920,19,0.9,6.2,13,18.02,-0.26,18.28,2,9,11,15,53,5,4,37,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Diego Souza,68911,19,0.7,3.14,18,6.2,-1.3,7.5,1,20,7,9,27,5,7,37,NA,4,1,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,2,Dúvida,4,mei,Giovanni Augusto,68938,19,0,1.76,12,4.32,0,4.32,1,16,6,8,15,NA,NA,37,NA,14,1,NA,NA,NA,NA,1,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,19,0,0.97,10,3.56,0,3.56,NA,9,4,5,13,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,19,0,2.73,3,3.99,0,3.99,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,5,6,1,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,19,4.53,3.47,19,11.11,0.28,10.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,19,-1,2.31,16,5.26,-0.96,6.22,6,14,NA,1,3,NA,NA,28,NA,18,NA,NA,NA,NA,7,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,19,0,-1,2,3.9,0,3.9,NA,6,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,19,8.5,3.31,10,10.82,1.24,9.58,2,4,NA,5,1,NA,4,5,NA,10,NA,1,NA,NA,4,NA,NA,NA,2019
277,Santos,7,Provável,5,ata,Marinho,68952,19,-2.6,3.87,13,6.53,-0.77,7.300000000000001,5,18,11,9,31,2,4,22,NA,12,1,1,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Leonardo Silva,68925,19,1.4,1.25,7,4.25,-0.54,4.79,2,4,1,NA,6,NA,NA,5,NA,6,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,4,mei,Lucho González,71479,19,-0.1,1.06,8,4.66,0.4,4.26,1,10,2,4,2,1,NA,12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,6,tec,Jorge Jesus,71224,19,5.83,6.05,10,14.73,-0.44,15.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,19,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,19,1.5,1.23,7,4.67,0.26,4.41,4,15,NA,NA,3,NA,1,13,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Elicarlos,50313,19,-1.5,1.09,7,4.15,-1.04,5.19,2,10,2,6,5,NA,NA,12,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,4,mei,Marquinhos Gabriel,68954,19,-1.3,0.85,13,3.16,-0.39,3.5500000000000003,2,8,4,3,11,NA,1,17,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,1,gol,Fernando Miguel,71571,19,4,2.91,11,7.28,1.24,6.04,1,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,13,12,4,NA,NA,NA,2019
275,Palmeiras,7,Provável,1,gol,Weverton,71631,19,11,3.45,12,14.19,2.56,11.629999999999999,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,15,12,4,NA,NA,NA,2019
290,Goiás,7,Provável,3,zag,Fábio Sanches,71604,19,6.5,3.35,6,4.02,1.14,2.88,NA,2,NA,1,9,1,NA,9,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,João Carlos,69010,19,0,-0.65,2,1.19,0,1.19,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,2,1,1,NA,NA,2019
