clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,I,PE,RB,A,SG,PP,DD,DP,GS,FT,GC,ano
275,Palmeiras,2,Dúvida,4,mei,Ramires,50293,32,0,1.17,3,6.79,0,6.79,NA,NA,2,NA,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,32,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,1,gol,Júlio César,49673,32,0,4.34,8,6.29,0,6.29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,17,NA,13,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ernando,49651,32,0,4.64,8,10.78,0,10.78,NA,NA,2,NA,NA,4,1,NA,3,4,NA,4,NA,NA,NA,NA,1,NA,2019
315,Chapecoense,6,Nulo,4,mei,Elicarlos,50313,32,0,0.82,17,4.58,0,4.58,5,NA,23,3,9,19,NA,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,32,0,1.68,16,7.34,0,7.34,3,NA,32,3,3,22,1,7,31,18,2,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Léo,50459,32,0,1.83,14,6.11,0,6.11,1,NA,17,1,NA,5,NA,NA,17,15,NA,3,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,David Braz,50317,32,12.2,5.38,16,10.49,0.87,9.620000000000001,NA,NA,13,3,9,2,2,NA,16,23,2,5,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,32,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,32,0,2.13,15,8.89,0,8.89,3,NA,25,4,1,10,1,1,18,22,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Camacho,68770,32,-1.3,1.67,6,3.34,-0.43,3.77,1,NA,9,1,NA,3,NA,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,32,-0.8,0.87,7,3.99,-0.68,4.67,NA,NA,10,2,1,3,NA,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,32,0,2.53,19,7.93,0,7.93,3,NA,20,1,2,22,NA,NA,52,24,1,5,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,32,5,2.3,12,4.96,0.98,3.98,2,NA,14,1,NA,4,1,NA,14,11,NA,4,NA,NA,NA,NA,NA,1,2019
315,Chapecoense,7,Provável,5,ata,Henrique Almeida,68773,32,0,3.85,10,5.51,0,5.51,3,NA,11,4,8,8,3,1,12,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Pedro Ken,50877,32,0,1.21,14,3.06,0,3.06,3,NA,16,1,1,14,NA,NA,7,16,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,32,0,3.18,8,5.28,0,5.28,NA,NA,14,1,2,6,NA,NA,13,17,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,32,3.6,5.04,14,5.13,-0.21,5.34,NA,1,12,4,2,6,2,1,26,13,3,6,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,32,5.5,4.67,23,7.58,0.82,6.76,1,NA,NA,NA,NA,2,NA,NA,11,NA,NA,10,NA,32,NA,17,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,32,0.5,5.54,25,13.15,-1.44,14.59,4,NA,32,8,7,35,2,NA,59,39,4,10,NA,NA,NA,NA,1,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,32,0,2.24,19,5.5,0,5.5,1,NA,3,6,10,26,1,1,27,9,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,32,7,4.06,28,11.88,1.44,10.440000000000001,1,1,NA,NA,NA,8,NA,NA,2,NA,NA,9,NA,42,NA,27,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,32,3.7,3.54,16,6.43,-1.57,8,1,2,19,1,3,10,1,1,18,25,NA,6,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,32,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,32,0,0.65,19,1.84,0,1.84,6,NA,28,6,9,6,NA,3,40,13,3,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Gum,68887,32,0,1.56,20,5.21,0,5.21,1,2,11,7,7,14,1,2,45,13,NA,4,NA,NA,NA,NA,NA,1,2019
282,Atlético-MG,6,Nulo,3,zag,Leonardo Silva,68925,32,0,1.55,14,4.46,0,4.46,5,NA,14,2,3,11,1,NA,14,11,NA,1,NA,NA,NA,NA,1,NA,2019
263,Botafogo,2,Dúvida,5,ata,Diego Souza,68911,32,6.5,2.65,27,6.95,0.97,5.98,4,NA,30,11,12,49,6,9,50,7,1,NA,NA,NA,NA,NA,1,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,32,4.7,5.69,25,18.73,0.78,17.95,3,NA,24,22,26,95,6,6,72,11,4,NA,NA,NA,NA,NA,2,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,32,0,2.73,3,3.99,0,3.99,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,5,NA,6,NA,NA,2019
264,Corinthians,3,Suspenso,4,mei,Gabriel,78605,32,-0.1,2.92,11,5.81,-0.16,5.97,3,NA,18,1,1,5,NA,NA,18,32,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,32,0,1.76,12,4.32,0,4.32,1,1,16,6,8,15,NA,NA,37,14,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,32,3,3.97,21,10.97,0.76,10.21,4,NA,9,2,7,3,1,4,10,27,1,7,NA,NA,NA,NA,1,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,32,0,1.68,6,4.15,0,4.15,1,NA,9,NA,6,5,NA,NA,4,7,NA,1,NA,NA,NA,NA,NA,1,2019
341,CSA,7,Provável,5,ata,Ricardo Bueno,69141,32,-0.1,3.51,23,13.91,-0.11,14.02,5,NA,28,9,11,37,7,13,28,13,2,NA,1,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,32,-1.9,1.43,28,4.78,-0.19,4.970000000000001,9,NA,28,1,2,7,NA,1,43,26,NA,9,NA,NA,NA,NA,NA,1,2019
293,Athlético-PR,6,Nulo,1,gol,Santos,69012,32,13.4,4.54,23,9.75,0.7,9.05,1,NA,1,NA,NA,4,NA,NA,20,NA,NA,9,NA,30,2,19,NA,NA,2019
341,CSA,7,Provável,1,gol,João Carlos,69010,32,3,2.25,10,1.75,0.82,0.93,1,1,1,NA,NA,1,NA,NA,5,NA,NA,1,NA,18,NA,14,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Manoel,69014,32,0.8,3.68,24,10.56,-0.08,10.64,1,NA,24,2,6,11,1,NA,34,28,NA,11,NA,NA,NA,NA,NA,1,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,32,2,1.42,18,3.81,-1.59,5.4,1,NA,18,8,7,22,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,5,ata,Marinho,68952,32,15.1,4.75,24,10.24,0.97,9.27,8,1,37,18,18,60,6,7,37,24,3,NA,NA,NA,NA,NA,1,NA,2019
283,Cruzeiro,7,Provável,4,mei,Marquinhos Gabriel,68954,32,-1.6,1.58,24,3.59,-0.77,4.359999999999999,2,NA,12,5,7,18,NA,2,28,16,2,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,7,Provável,5,ata,Marcelo Cirino,69022,32,10.6,4.54,26,10.18,1.88,8.3,NA,NA,19,7,16,25,9,6,35,15,2,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,32,2.2,2.18,15,5.42,-0.24,5.66,4,1,33,1,3,10,NA,1,20,40,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,32,2,4.2,29,7.51,0.39,7.12,3,NA,NA,NA,NA,3,NA,NA,5,NA,NA,7,NA,59,NA,42,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,32,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Pablo,69138,32,1,3.12,9,12.35,-0.03,12.379999999999999,2,NA,16,2,10,6,3,6,6,3,NA,NA,NA,NA,NA,NA,1,NA,2019
284,Grêmio,6,Nulo,4,mei,Romulo,70009,32,0,1.9,14,4.41,0,4.41,3,NA,23,2,4,11,2,NA,18,15,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,1,gol,Muriel,69041,32,-1,5.13,20,6.82,-1.45,8.27,1,NA,1,NA,NA,6,NA,NA,6,NA,NA,7,NA,37,NA,21,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gamarra,69288,32,0,0.2,2,5.34,0,5.34,NA,NA,2,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Victor Ferraz,70046,32,14.3,4.71,22,12.22,1.7,10.520000000000001,3,NA,11,6,5,13,NA,1,55,33,1,12,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,32,0,6.14,5,6.1,0,6.1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,12,NA,5,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Boselli,69161,32,1.1,3.59,16,4.46,-2.43,6.890000000000001,3,NA,10,8,6,15,5,2,18,2,2,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Paulo Roberto,69047,32,0,0.68,4,3.66,0,3.66,NA,NA,5,NA,1,7,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alan Santos,70132,32,0,0.47,4,2.8,0,2.8,NA,NA,5,NA,1,3,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Fellipe Bastos,70116,32,0,2.91,11,4.91,0,4.91,4,NA,10,3,12,6,1,NA,11,16,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Léo,69177,32,0,2.43,15,4.35,0,4.35,5,2,29,NA,8,21,NA,NA,25,21,2,4,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,Sidão,70222,32,0,1.03,6,3.74,0,3.74,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,8,NA,8,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Diogo Barbosa,70916,32,1.2,5.27,23,13.63,-0.33,13.96,2,NA,32,3,4,19,NA,1,29,56,1,9,NA,NA,NA,NA,NA,NA,2019
