clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,FS,GS,PE,SG,FC,FD,FF,RB,DP,A,G,I,PP,CV,FT,GC,ano
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,33,1.2,2.21,19,5.77,-0.13,5.8999999999999995,1,NA,3,NA,28,4,15,2,2,13,NA,1,1,2,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,33,-1,4.54,21,10.17,-0.84,11.01,1,NA,31,NA,24,NA,23,2,2,57,NA,NA,1,NA,NA,NA,1,NA,2019
356,Fortaleza,7,Provável,3,zag,Adalberto,51549,33,0,-2.8,1,1.72,0,1.72,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,33,0,3.32,9,6.56,0,6.56,1,17,NA,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,3,Suspenso,3,zag,Réver,52253,33,-1.3,4.6,25,11.5,-1.17,12.67,3,NA,19,NA,38,6,11,5,11,40,NA,2,1,1,NA,NA,2,NA,2019
262,Flamengo,6,Nulo,4,mei,Everton Ribeiro,51772,33,0,3.32,28,11.52,-0.29,11.809999999999999,3,NA,44,NA,82,NA,26,11,14,35,NA,6,1,1,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,4,mei,Elias,54395,33,0,1.45,24,8.31,0,8.31,3,NA,17,NA,63,NA,29,5,8,28,NA,1,1,NA,NA,1,1,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,33,0,0.98,12,4.09,0,4.09,NA,NA,3,NA,24,2,5,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,33,0.5,-0.2,4,3.01,0.05,2.96,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,33,0,1.07,11,5.66,0,5.66,2,NA,12,NA,11,NA,6,NA,2,2,NA,NA,2,1,1,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Dedé,60819,33,0,5.08,20,14.63,0,14.63,2,NA,21,NA,45,8,14,4,6,28,NA,NA,3,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,33,5.2,2.88,16,4.27,0.9,3.3699999999999997,1,NA,5,NA,38,5,19,2,4,22,NA,1,NA,4,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Patric,60969,33,-2.7,2.09,19,3.49,-1.56,5.050000000000001,3,NA,6,NA,49,5,28,6,8,17,NA,1,1,1,NA,NA,NA,1,2019
265,Bahia,2,Dúvida,5,ata,Lucca,61149,33,1.8,2.03,14,5.22,0.28,4.9399999999999995,1,NA,23,NA,16,NA,14,9,7,10,NA,NA,NA,1,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,33,0,2.48,5,5.52,0,5.52,2,NA,7,NA,9,NA,3,1,3,4,NA,NA,1,1,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,33,0,2.53,24,6.32,-0.53,6.8500000000000005,2,NA,22,NA,51,NA,31,11,18,19,NA,4,1,5,NA,NA,1,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Robinho,62104,33,-0.3,0.52,24,5.21,-0.46,5.67,7,NA,24,NA,97,NA,33,5,16,19,NA,1,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,33,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,33,1.1,0.74,19,5.81,-0.07,5.88,5,NA,14,NA,67,NA,6,10,9,8,NA,1,1,6,1,NA,1,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,33,3.4,5.85,27,16.2,0.39,15.809999999999999,1,NA,17,NA,31,NA,28,15,25,21,NA,3,11,8,NA,NA,2,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,33,0,-0.39,8,2.38,0,2.38,2,NA,11,NA,7,NA,10,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,33,0.8,2.07,27,6.25,-0.04,6.29,1,NA,18,NA,13,NA,11,9,20,6,NA,NA,4,9,NA,1,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,33,0,-0.04,7,3.5,0,3.5,NA,NA,1,NA,7,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,33,0.6,-0.74,25,0.78,-0.01,0.79,10,NA,14,NA,52,NA,46,4,3,14,NA,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,33,0,7.97,6,22.89,0,22.89,NA,15,2,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,33,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,33,0,-0.67,6,2.22,0,2.22,NA,7,1,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,33,0,1.76,9,5.16,0,5.16,1,NA,6,NA,11,NA,8,1,3,6,NA,2,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Paulão,63172,33,12.2,4.5,9,7.93,1.5,6.43,1,NA,4,NA,15,3,6,1,1,10,NA,NA,2,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,33,8.6,6.51,21,17.11,0.48,16.63,3,NA,29,NA,70,8,33,1,5,72,NA,1,1,1,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,33,0,0.37,7,1.83,0,1.83,NA,NA,3,NA,5,1,5,3,NA,2,NA,NA,NA,3,NA,NA,NA,1,2019
290,Goiás,3,Suspenso,2,lat,Alan Ruschel,63110,33,-1,1.73,13,4.37,-0.19,4.5600000000000005,6,NA,21,NA,10,3,22,3,1,7,NA,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,33,0,0.88,16,4.09,0,4.09,4,NA,6,NA,21,1,5,1,NA,9,NA,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Douglas,63128,33,3.9,1.16,22,3.24,0.42,2.8200000000000003,7,NA,8,NA,16,4,24,2,5,14,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Carlinhos,63194,33,5.4,2.89,24,6.81,1.18,5.63,5,NA,18,NA,47,4,49,4,7,44,NA,2,1,1,NA,1,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,33,0.5,2.7,25,8.23,-0.09,8.32,6,NA,18,NA,53,NA,27,6,3,27,NA,2,5,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,33,0,1.29,14,4.69,0,4.69,3,NA,15,NA,21,NA,15,2,3,17,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,33,7.7,4.24,13,7.35,1.16,6.1899999999999995,1,NA,6,NA,9,4,7,2,2,19,NA,NA,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,33,3.9,3.6,23,8.35,0.42,7.93,5,NA,48,NA,69,NA,45,6,21,44,NA,1,3,6,1,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,33,4.8,2.83,20,5.55,0.9,4.6499999999999995,3,NA,28,NA,19,NA,22,17,14,10,NA,1,3,12,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,33,-0.8,1.77,4,6.18,-0.57,6.75,NA,NA,5,NA,3,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Pará,62086,33,0,2.19,14,4.78,0,4.78,4,NA,8,NA,14,5,16,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Henrique Almeida,68773,33,4.6,3.92,11,5.07,-0.44,5.510000000000001,3,NA,9,NA,14,NA,11,6,9,11,NA,NA,3,1,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,33,6.6,3.74,17,7,-0.01,7.01,2,NA,6,NA,37,8,24,5,2,25,NA,NA,NA,1,NA,NA,1,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,33,0,3.18,8,5.28,0,5.28,NA,NA,6,NA,13,NA,14,1,2,17,NA,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,2,lat,Nino Paraíba,68808,33,0,5.54,25,13.15,0,13.15,4,NA,35,NA,59,10,32,8,7,39,NA,4,2,NA,NA,NA,1,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,33,1,4.52,24,6.82,-0.76,7.58,1,33,2,18,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Camacho,68770,33,4.7,2.1,7,4.31,0.97,3.34,1,NA,3,NA,11,NA,9,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
