clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,FT,G,PE,RB,SG,DD,GS,DP,I,PP,CV,GC,ano
276,São Paulo,5,Contundido,3,zag,Anderson Martins,52618,11,0,0.6,5,2.8,0,2.8,NA,3,5,NA,NA,1,NA,NA,5,5,1,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Nenê,38913,11,2.4,2.83,3,6.07,-0.48,6.550000000000001,1,NA,2,NA,NA,6,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,4,mei,Felipe Melo,38545,11,2.9,0.72,4,6.73,0.24,6.49,NA,3,6,2,4,9,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,11,3.3,2.16,9,5.01,-0.76,5.77,NA,2,11,2,4,15,NA,2,12,4,NA,NA,NA,NA,5,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Nilton,38573,11,0,-0.65,6,2.24,0,2.24,NA,3,7,NA,1,6,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,2,lat,Edílson,38523,11,0,2.97,3,6.2,0,6.2,NA,1,6,NA,1,4,1,NA,8,7,1,NA,NA,NA,NA,NA,1,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,11,2.89,4,11,11.45,-0.1,11.549999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Willian,42116,11,2,1,2,7.82,0.22,7.6000000000000005,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,11,3.38,3.17,7,7.75,0.33,7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,11,0,2.6,9,13.22,0,13.22,1,NA,8,5,6,8,1,1,8,2,NA,NA,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Egídio,42145,11,0,5.44,5,9.58,0,9.58,1,NA,3,2,1,5,NA,NA,25,14,1,NA,NA,NA,1,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Renato,39572,11,0,2.55,4,5.74,0,5.74,NA,NA,NA,2,3,9,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,11,0,2.01,8,4.92,0,4.92,2,1,6,3,1,2,NA,1,11,4,NA,NA,NA,NA,NA,NA,1,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,11,-1.2,2.11,9,8.99,-0.76,9.75,NA,NA,10,2,2,8,1,1,27,12,NA,NA,NA,NA,NA,NA,1,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,11,0,1.5,1,4.08,0,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,3,Suspenso,2,lat,Gilson,52674,11,-3.2,1.73,8,4.27,-1.78,6.05,NA,2,9,NA,1,8,NA,NA,15,8,3,NA,NA,NA,NA,NA,1,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,11,0,3.32,9,6.56,0,6.56,NA,1,NA,NA,NA,NA,NA,NA,7,NA,1,17,11,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,11,4,5.51,8,8.57,-0.4,8.97,NA,2,NA,NA,NA,2,NA,NA,3,NA,5,11,5,NA,NA,NA,NA,NA,2019
