clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,PE,RB,SG,I,A,PP,GC,DD,GS,FT,DP,ano
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,20,8.1,4.53,14,14.38,0.76,13.620000000000001,3,NA,15,10,12,14,2,17,12,NA,1,4,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Lucas Bessa,98494,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,20,0,3.56,7,6.23,0,6.23,1,NA,7,4,3,2,1,6,11,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vinícius,98496,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,3,zag,Rodrigo Caio,73800,20,1.5,3.76,14,8.35,-0.47,8.82,3,NA,13,2,11,6,1,15,12,6,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,20,0,-0.45,7,4.65,0,4.65,1,NA,1,NA,2,3,NA,14,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Jean Cléber,73858,20,-1.6,1.05,10,2.25,-0.53,2.7800000000000002,2,NA,12,NA,2,8,NA,12,9,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Natan,98497,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,20,9.6,5.89,7,13.77,0.58,13.19,NA,NA,15,NA,NA,2,NA,21,26,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Geuvânio,73896,20,2,2.36,17,11.16,0.01,11.15,2,NA,23,9,11,24,NA,25,16,NA,1,1,NA,NA,NA,NA,1,NA,2019
262,Flamengo,5,Contundido,4,mei,Diego,38909,20,0,1.53,9,5.52,0,5.52,5,NA,10,6,7,16,NA,25,9,NA,NA,NA,1,NA,NA,NA,2,NA,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Lucas Silva,98515,20,0,0.9,3,1.69,0,1.69,NA,NA,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Igo,104991,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Caio Alexandre,106323,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Luis Henrique ,105049,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,20,0,3.29,14,13.34,0,13.34,NA,NA,14,9,9,14,2,11,5,NA,2,2,1,NA,NA,NA,1,NA,2019
277,Santos,6,Nulo,3,zag,Wagner Leonardo,104994,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Tiago Reis,104678,20,0,1.74,8,4.08,0,4.08,1,NA,13,1,3,3,1,4,2,NA,1,1,NA,NA,NA,NA,1,NA,2019
341,CSA,6,Nulo,5,ata,Gerson Júnior,104824,20,0,0,2,0.75,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Bruninho,105111,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,20,1.1,2.51,9,5.81,-0.58,6.39,NA,1,11,3,6,14,1,31,6,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Talison,105173,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Vinícius,105199,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Raphael Lopes,105198,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,20,0,5.28,14,15.9,0,15.9,2,NA,11,4,6,15,2,31,23,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Khellven ,105175,20,0,1.65,2,1.25,0,1.25,NA,NA,3,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Luiz Fernando,105176,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Reinier,105068,20,0,6.3,2,4.55,0,4.55,NA,NA,1,NA,NA,2,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Bento,105208,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Vinícius Popó,105201,20,0,1,1,1.74,0,1.74,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,20,3.1,6.34,5,15.53,-0.28,15.809999999999999,NA,NA,13,2,5,10,1,19,8,2,1,NA,NA,NA,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,20,6,2.99,16,6.17,1,5.17,3,NA,20,3,5,26,5,22,9,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Iago Mendonça,105278,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Flávio,105340,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato,39572,20,2.9,2.62,5,5.2,-0.54,5.74,NA,NA,NA,3,3,10,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
