clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,RB,SG,DD,GS,DP,FT,PP,CV,GC,ano
277,Santos,6,Nulo,4,mei,Jobson,93377,17,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Joel Carli,93414,17,-0.9,2.08,14,6.5,-0.96,7.46,NA,4,13,1,2,10,NA,NA,39,13,5,NA,NA,NA,1,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Alan Cardoso,93785,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Lucas Veríssimo,93368,17,4.9,4.86,15,10.11,0.01,10.1,NA,3,31,1,6,11,1,1,38,34,7,NA,NA,NA,2,NA,1,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Michael,93659,17,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Alisson Safira,93782,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Andrey,93787,17,0,2.83,10,5.47,0,5.47,NA,NA,10,3,3,5,1,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Daniel,93791,17,0,1.47,13,4.58,0,4.58,1,2,10,6,3,21,NA,NA,40,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Klaus,90846,17,0,1.02,5,2.64,0,2.64,NA,1,8,1,NA,1,NA,NA,12,2,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Paulinho,78512,17,0,0.85,4,1.93,0,1.93,NA,NA,7,NA,2,4,NA,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,4,mei,Gustavo Blanco,91191,17,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Lucas França,93869,17,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Keiller,93834,17,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Cleiton,93882,17,3.7,2.68,8,3.01,-0.3,3.3099999999999996,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,9,7,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,4,mei,Jean Mota,78548,17,0,2.23,14,7.85,-0.3,8.15,1,NA,13,4,4,19,1,NA,21,7,NA,NA,NA,NA,1,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Marcos Júnior,93893,17,0,2.35,10,3.54,-0.18,3.72,NA,3,18,3,4,15,1,NA,31,15,NA,NA,NA,NA,1,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,John Victor,94044,17,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Matheus Fernandes,94067,17,0.2,1.43,3,3.87,-0.4,4.2700000000000005,NA,NA,1,NA,NA,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Ribamar,94068,17,0,0.8,1,2.64,0,2.64,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Richard,78851,17,0,1.2,1,4.73,0,4.73,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,5,ata,Felipe Vizeu,94138,17,0,0.67,9,2.41,0,2.41,NA,NA,9,NA,4,3,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Gustavo Henrique,78248,17,3.8,2.67,14,6.52,1.32,5.199999999999999,NA,5,14,2,2,6,1,NA,19,10,7,NA,NA,NA,NA,NA,1,NA,2019
315,Chapecoense,5,Contundido,1,gol,Vagner,78151,17,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
