clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,PE,RB,FD,FF,FS,A,CA,G,I,SG,FT,DD,DP,GS,CV,GC,PP,ano
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,4,mei,Ronaldo,92981,14,0,2.18,4,3.9,0,3.9,10,7,9,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Victor Rangel,82653,14,0,-0.52,4,1.68,0,1.68,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,5,ata,Daniel Amorim,82880,14,0,1.5,8,5.23,0,5.23,5,6,NA,3,4,9,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,2,lat,Cristovam,82930,14,6.2,6.2,1,3.56,0.56,3,1,1,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Lucas Veríssimo,93368,14,5,4.77,12,9.78,-0.35,10.129999999999999,28,30,26,1,4,9,NA,3,1,1,6,2,NA,NA,NA,1,NA,NA,2019
264,Corinthians,2,Dúvida,4,mei,Mateus Vital,93108,14,0,3.64,9,6.58,0,6.58,2,8,7,1,5,19,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Thiago Santos,93151,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Matheus Ribeiro,82943,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Vinícius Araújo,82767,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Otero,83004,14,-1,2.7,3,7.3,-1.07,8.37,5,4,NA,4,5,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Lucão,83199,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Jobson,93377,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Michael,93659,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Joel Carli,93414,14,1.9,2.1,12,7.01,0.15,6.859999999999999,10,32,12,1,2,8,NA,4,NA,NA,4,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Daniel,93791,14,2.7,1.4,12,4.58,0.3,4.28,10,37,9,5,3,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Andrey,93787,14,0,3.17,8,5.49,0,5.49,9,13,13,2,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Lucas França,93869,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Alan Cardoso,93785,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Patrick,83433,14,1.6,3.17,6,8.07,-0.04,8.11,6,10,11,1,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Gabriel,83257,14,0,9.8,10,19.12,0,19.12,9,22,5,11,13,10,2,3,9,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Marcinho,93797,14,1.8,4.12,8,6.5,-1.42,7.92,9,14,9,2,4,5,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,5,ata,Guilherme Parede,83438,14,0,1.91,8,4.23,0,4.23,8,7,4,1,4,14,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Keiller,93834,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Léo Pereira,83528,14,0,3.38,10,9.54,0,9.54,11,28,11,3,2,5,NA,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Clayson,83817,14,3.6,3.1,12,10.64,0.16,10.48,20,25,11,6,3,23,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Rafinha,83681,14,0,2.95,2,3.92,0,3.92,2,2,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,3,zag,Charles,84187,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,2,lat,Diego Tavares,83869,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Neilton,83772,14,0,3.13,3,6.31,0,6.31,1,8,4,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Berrío ,85300,14,-0.4,1.04,9,5.15,-0.27,5.42,10,12,7,1,4,4,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
290,Goiás,5,Contundido,4,mei,Rafinha,84381,14,1.5,0.85,2,2.97,-0.1,3.0700000000000003,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
