clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,RB,DD,GS,PE,SG,A,CV,FD,FF,FS,FT,G,I,DP,PP,GC,ano
285,Internacional,6,Nulo,2,lat,Heitor,104649,15,0,1.25,2,1.2,0,1.2,1,1,3,NA,NA,9,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Rafinha,83681,15,0,2.95,2,3.92,0,3.92,NA,2,4,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Neilton,83772,15,-0.3,2.27,4,5.78,-0.53,6.3100000000000005,NA,2,4,NA,NA,9,NA,NA,NA,1,2,8,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,3,zag,Charles,84187,15,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,15,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Clayson,83817,15,0,2.86,13,9.98,-0.66,10.64,2,20,11,NA,NA,25,NA,1,NA,6,3,23,NA,2,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Jean Carlos,84253,15,-2.8,-2.8,1,0.78,-1.22,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Jefferson,95220,15,3.3,5.39,14,11.83,-0.04,11.87,2,8,35,NA,NA,37,4,NA,NA,1,3,21,NA,1,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Alessandro Vinícius,94495,15,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Tiago Reis,104678,15,0.5,1.94,7,4.22,0.01,4.21,1,12,2,NA,NA,4,NA,1,NA,1,2,3,1,1,1,NA,NA,NA,2019
