clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,CV,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,PP,FT,GC,ano
263,Botafogo,6,Nulo,5,ata,Igor Cássio,99661,37,0,1.74,12,1.4,0,1.4,NA,1,NA,9,3,4,5,2,1,11,4,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Cláudio Vitor,98888,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Rafael Santos,97907,37,0,1.65,2,0.9,0,0.9,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Patrick,99918,37,1.3,1.34,17,2.22,-0.04,2.2600000000000002,NA,1,NA,4,3,2,14,1,NA,8,6,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Fessin,97994,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Varela,97993,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Rickson,100002,37,0,0.43,6,1.4,0,1.4,NA,1,NA,3,NA,1,7,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Diego Torres,98794,37,4.4,2.43,12,4.55,0.52,4.029999999999999,1,NA,NA,5,2,10,6,1,NA,18,7,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Mascarenhas,99721,37,0,-2.3,1,1.75,0,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Brenner,99789,37,0,2.3,6,3.14,0,3.14,NA,NA,NA,2,2,4,4,NA,NA,6,4,NA,NA,NA,NA,NA,1,NA,2019
265,Bahia,6,Nulo,4,mei,Shaylon,97520,37,0,0.23,7,2.59,0,2.59,NA,NA,NA,4,1,1,2,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Lincoln,100065,37,13.7,4.01,11,5.89,1.32,4.569999999999999,2,1,NA,5,4,6,8,3,1,10,3,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,3,Suspenso,5,ata,Lourenço,99032,37,12.8,2.72,27,6.65,1.95,4.7,3,3,NA,27,14,13,35,1,4,65,29,NA,NA,NA,NA,NA,1,NA,2019
276,São Paulo,6,Nulo,4,mei,Igor Gomes,100084,37,6.8,1.81,26,2.89,0.68,2.21,2,3,NA,20,8,8,28,2,1,35,12,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Richard Franco,99802,37,9.4,2.9,26,6.8,1.76,5.04,1,5,NA,61,8,24,37,1,1,77,53,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Dalberto,97995,37,1.7,0.22,9,2.05,0.76,1.2899999999999998,NA,2,NA,9,3,2,1,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Thuler,100125,37,3.5,1.8,13,3.24,-0.05,3.29,NA,2,NA,14,NA,NA,4,NA,NA,10,7,NA,NA,NA,5,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Fernando,97543,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Chará,99891,37,0,4.21,18,11.57,0,11.57,1,NA,NA,9,11,12,25,3,4,49,20,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,2,Dúvida,4,mei,Tomás Andrade,97619,37,0,0.69,10,3.82,0,3.82,1,NA,NA,10,3,5,4,NA,NA,19,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Gabriel Batista,98333,37,0,-2,1,2.77,0,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Erick,98022,37,0,1.48,13,2.08,0,2.08,NA,1,NA,19,5,3,6,1,NA,17,11,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Dawhan,97780,37,-0.9,0.96,31,5.23,-0.29,5.5200000000000005,NA,7,NA,33,2,10,12,NA,1,37,37,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,5,ata,Pedrinho,100103,37,0,0.44,5,0.9,0,0.9,NA,NA,NA,4,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Felipe Pires,100289,37,0,2.35,11,3.93,0,3.93,1,NA,NA,7,2,6,15,1,1,13,4,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Terans,102878,37,0,0.23,3,3.51,0,3.51,NA,NA,NA,2,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Lucas Venuto,100290,37,0,-0.13,4,1.79,0,1.79,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Bruno Guimarães,98352,37,0,3.7,24,11.35,-0.96,12.309999999999999,2,3,NA,38,9,15,62,2,NA,81,37,NA,NA,NA,NA,NA,1,NA,2019
284,Grêmio,6,Nulo,4,mei,Matheus Henrique,100742,37,1.8,0.78,20,3.31,0.36,2.95,1,9,NA,34,5,4,21,NA,NA,44,26,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Bustamante,100425,37,1.2,1.39,18,2.55,0.15,2.4,1,1,NA,36,4,9,13,1,1,19,13,NA,NA,NA,NA,NA,NA,NA,2019
