clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,PP,RB,SG,A,CV,DD,DP,GS,FT,GC,ano
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,34,1.2,2.72,31,8.61,-0.29,8.899999999999999,4,32,4,7,45,NA,NA,38,NA,61,NA,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,34,6.3,4.43,27,9.51,0.96,8.55,8,22,21,36,30,6,2,65,NA,15,NA,5,NA,NA,NA,NA,1,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,34,0.1,2.08,27,7.89,-0.29,8.18,2,23,15,7,21,4,6,60,1,17,NA,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Fred,38162,34,0,1.73,27,5.15,0,5.15,10,45,13,15,38,5,14,53,NA,5,NA,3,NA,NA,NA,NA,1,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,34,0,5.07,27,11.1,-1.13,12.23,7,49,16,19,37,13,11,40,NA,10,NA,3,NA,NA,NA,NA,2,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Adriano,38336,34,0,2.67,8,9.3,0,9.3,3,9,NA,1,3,1,NA,18,NA,8,2,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,34,0,-0.1,15,2.86,0,2.86,3,6,1,6,3,NA,NA,21,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,34,0,1.98,12,2.77,0,2.77,6,17,6,3,13,NA,NA,18,NA,9,4,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,34,0,6.02,8,6.16,0,6.16,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,23,NA,10,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,34,0,3.07,18,8.45,0,8.45,9,16,2,4,15,2,2,23,NA,20,6,1,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Carlinhos,38451,34,0,4.11,26,7.16,0,7.16,2,22,6,11,24,2,2,59,NA,41,8,NA,NA,NA,NA,NA,NA,1,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,34,5,2.21,15,6.31,0.08,6.2299999999999995,2,15,NA,9,8,NA,1,25,NA,19,2,NA,NA,NA,NA,NA,1,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,34,0,5.37,28,9.68,0,9.68,NA,NA,NA,NA,4,NA,NA,16,NA,2,13,NA,NA,37,2,20,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,34,0,2.69,12,6.12,0,6.12,2,16,NA,5,10,NA,NA,26,NA,18,4,NA,2,NA,NA,NA,2,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,34,1,2.06,16,8.73,-0.16,8.89,3,26,4,1,10,1,1,18,NA,23,NA,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,3,zag,Matheus Ferraz,38632,34,0,3.56,7,6.23,0,6.23,1,7,4,3,2,1,1,6,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,34,0,0.28,9,2.71,0,2.71,3,10,NA,2,7,NA,NA,12,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Douglas,38738,34,0,0.27,12,5.08,0,5.08,1,3,1,6,8,NA,2,34,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,4,mei,Felipe Melo,38545,34,0,2.74,18,7.04,0,7.04,7,32,4,14,26,3,1,41,NA,26,NA,1,1,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,34,0,0.87,7,3.99,0,3.99,NA,10,2,1,3,NA,1,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,34,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,34,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,34,0,3.34,25,12.79,0,12.79,4,23,13,15,24,2,1,26,NA,24,NA,4,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Léo,50459,34,0,1.83,14,6.11,0,6.11,1,17,1,NA,5,NA,NA,17,NA,15,3,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Diego,38909,34,0,1.23,12,4.73,0,4.73,5,12,7,9,18,NA,NA,31,1,9,NA,NA,NA,NA,NA,NA,2,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,34,0.5,2.79,30,5.61,-0.02,5.63,5,50,13,14,45,4,11,50,NA,12,7,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,34,5.8,2.9,21,8.74,-0.16,8.9,3,22,2,4,22,NA,NA,54,NA,25,7,1,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,4,mei,Elias,54395,34,0,1.45,24,8.31,0,8.31,3,29,5,8,17,1,NA,63,NA,28,NA,1,1,NA,NA,NA,1,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,34,0,1.21,14,3.06,0,3.06,3,16,1,1,14,NA,NA,7,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,34,0,7.22,6,8.36,0,8.36,NA,NA,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,13,1,6,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,34,0,-2.8,1,1.72,0,1.72,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,34,0,3.32,28,11.52,0,11.52,3,26,11,14,44,1,1,82,NA,35,NA,6,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,34,0,0.98,12,4.09,0,4.09,NA,5,NA,3,3,NA,NA,24,NA,5,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,34,0,2.05,10,3.52,0,3.52,5,12,NA,NA,1,NA,NA,12,NA,13,4,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,34,0,0.88,16,4.09,0,4.09,4,5,1,NA,6,1,NA,21,NA,9,1,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,34,0.5,2.12,20,5.6,-0.17,5.77,1,15,2,2,4,1,2,28,NA,13,4,1,NA,NA,NA,NA,1,NA,2019
263,Botafogo,5,Contundido,2,lat,Gilson,52674,34,0,1.68,18,5.35,0,5.35,3,20,NA,1,16,NA,NA,37,NA,19,5,1,2,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,34,0,4.6,25,11.5,0,11.5,3,11,5,11,19,1,1,38,NA,40,6,2,NA,NA,NA,NA,2,NA,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,34,0,4.54,21,10.17,0,10.17,1,23,2,2,31,1,NA,24,NA,57,NA,NA,NA,NA,NA,NA,1,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,34,0,1.07,11,5.66,0,5.66,2,6,NA,2,12,2,1,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,34,0,-0.2,4,3.01,0,3.01,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,34,0,3.32,9,6.56,0,6.56,1,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,17,NA,11,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,34,2,2.51,25,6.58,0.26,6.32,2,31,11,18,23,1,5,51,NA,20,NA,4,NA,NA,NA,NA,1,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Dedé,60819,34,0,5.08,20,14.63,0,14.63,2,14,4,6,21,3,NA,45,NA,28,8,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,34,1.1,0.76,20,5.75,-0.06,5.81,5,6,11,10,17,1,6,75,1,8,NA,1,NA,NA,NA,NA,1,NA,2019
290,Goiás,2,Dúvida,2,lat,Alan Ruschel,63110,34,0,1.73,13,4.37,0,4.37,6,22,3,1,21,1,NA,10,NA,7,3,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,34,4.9,3,17,4.28,0.01,4.2700000000000005,1,21,2,4,5,NA,4,40,NA,23,5,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Patric,60969,34,2.7,2.12,20,4.32,0.83,3.49,3,29,6,9,7,1,2,51,NA,19,5,1,NA,NA,NA,NA,NA,1,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,34,0,2.48,5,5.52,0,5.52,2,3,1,3,7,1,1,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Pará,62086,34,6.7,2.49,15,5.52,0.74,4.779999999999999,4,18,NA,1,9,NA,NA,15,NA,19,5,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,34,8,2.28,28,7.43,1.18,6.25,1,11,9,20,18,5,9,13,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Lucca,61149,34,-0.4,1.87,15,4.79,-0.43,5.22,1,15,9,8,24,NA,1,20,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,34,0,-0.04,7,3.5,0,3.5,NA,2,NA,1,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,34,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,34,0,7.97,6,22.89,0,22.89,NA,NA,NA,NA,2,NA,NA,4,NA,NA,3,NA,NA,15,NA,6,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,34,11.3,6.04,28,17.43,1.23,16.2,1,29,15,28,18,12,8,33,NA,22,NA,3,NA,NA,NA,NA,2,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,34,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Airton,61985,34,2,-0.12,9,2.37,-0.01,2.38,2,10,NA,NA,12,NA,NA,7,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Robinho,62104,34,-1.3,0.45,25,4.95,-0.26,5.21,8,34,5,16,27,1,NA,98,NA,19,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Douglas,63128,34,2.2,1.21,23,2.99,-0.25,3.24,8,25,2,5,8,NA,NA,17,NA,14,5,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,34,2.1,-0.63,26,0.78,0,0.78,10,46,4,3,14,NA,NA,55,NA,16,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Paulão,63172,34,0,4.5,9,7.93,0,7.93,1,6,1,1,4,2,NA,15,NA,10,3,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,34,0,1.76,9,5.16,0,5.16,1,8,1,3,6,NA,1,11,NA,6,NA,2,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,34,3.4,6.37,22,16.18,-0.93,17.11,3,34,1,5,29,1,1,72,NA,75,8,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,34,0.8,5.36,26,12.86,-0.29,13.149999999999999,4,33,8,8,36,2,NA,59,NA,39,10,4,NA,NA,NA,NA,1,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,34,0,0.37,7,1.83,0,1.83,NA,5,3,NA,3,NA,3,5,NA,2,1,NA,NA,NA,NA,NA,NA,1,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,34,4.5,1.74,26,7.91,0.56,7.35,8,30,13,14,33,2,NA,82,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,3,Suspenso,2,lat,Carlinhos,63194,34,1.5,2.83,25,6.16,-0.65,6.8100000000000005,6,50,4,7,18,1,2,47,NA,47,4,2,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,34,8,3.78,24,9.04,0.69,8.35,5,45,6,22,51,3,6,70,1,48,NA,1,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,34,0,1.29,14,4.69,0,4.69,3,15,2,3,15,NA,NA,21,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,34,4.1,2.75,26,8.75,0.52,8.23,7,27,8,4,19,5,NA,55,NA,29,NA,2,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,34,-0.8,3.88,14,5.95,-1.4,7.35,2,9,2,3,7,1,NA,11,NA,20,4,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Henrique Almeida,68773,34,0,3.92,11,5.07,0,5.07,3,11,6,9,9,3,1,14,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,34,0,3.74,17,7,0,7,2,24,5,2,6,NA,1,37,NA,25,8,NA,NA,NA,NA,NA,1,NA,2019
285,Internacional,2,Dúvida,4,mei,Bruno Silva,68698,34,0,2.46,12,7.84,0,7.84,4,22,4,4,15,NA,1,23,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,34,0,2.22,17,7.95,0,7.95,3,20,6,6,19,2,5,18,1,10,NA,2,NA,NA,NA,NA,1,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,34,0,1.77,4,6.18,0,6.18,NA,4,NA,NA,5,NA,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,34,0,-0.67,6,2.22,0,2.22,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,7,NA,12,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Camacho,68770,34,0,2.1,7,4.31,0,4.31,1,9,1,1,3,NA,NA,11,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,34,3,2.84,21,5.28,-0.27,5.550000000000001,3,22,17,15,30,3,12,20,1,11,NA,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,34,6,4.14,30,11.66,0.18,11.48,1,NA,NA,NA,8,NA,NA,3,NA,NA,10,NA,1,43,1,29,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,34,0,2.3,12,4.96,0,4.96,2,14,1,NA,4,1,NA,14,NA,11,4,NA,NA,NA,NA,NA,NA,1,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,34,9,3.63,18,7.26,1.53,5.7299999999999995,2,22,1,3,13,1,1,19,NA,29,7,NA,2,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Diego Souza,68911,34,7.3,2.74,29,7.07,1.08,5.99,5,31,11,14,52,7,9,52,NA,7,NA,1,NA,NA,NA,NA,1,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,34,1,4.38,25,6.75,-0.07,6.82,1,NA,NA,NA,2,NA,NA,11,NA,NA,10,NA,NA,34,NA,19,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,34,0,3.18,8,5.28,0,5.28,NA,14,1,2,6,NA,NA,13,NA,17,NA,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,34,0,2.24,19,5.5,0,5.5,1,3,6,10,26,1,1,27,NA,9,NA,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,34,0,2.73,3,3.99,0,3.99,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,5,NA,6,NA,NA,2019
284,Grêmio,2,Dúvida,2,lat,Rafael Galhardo,68821,34,0,5.04,14,5.13,0,5.13,NA,12,4,2,6,2,1,26,NA,13,6,3,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Gum,68887,34,0,1.56,20,5.21,0,5.21,1,11,7,7,14,1,2,45,NA,13,4,NA,2,NA,NA,NA,NA,1,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,34,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,34,0,0.65,19,1.84,0,1.84,6,28,6,9,6,NA,3,40,NA,13,NA,3,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,34,1.8,3.9,23,10.65,-0.55,11.200000000000001,4,10,2,8,3,1,4,11,NA,28,8,1,NA,NA,NA,NA,1,NA,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,34,1.2,1.38,20,3.63,0.03,3.6,1,19,8,8,23,1,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,34,0,1.76,12,4.32,0,4.32,1,16,6,8,15,NA,NA,37,NA,14,NA,1,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,34,1.7,5.45,27,17.86,-0.42,18.28,4,27,24,28,102,6,7,78,NA,13,NA,4,NA,NA,NA,NA,2,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Leonardo Silva,68925,34,4,1.71,15,4.61,0.15,4.46,5,14,2,4,15,1,NA,15,NA,12,1,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,34,2.1,1.45,30,5.33,0.07,5.26,9,29,2,3,7,NA,1,46,NA,28,9,NA,NA,NA,NA,NA,NA,1,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,34,0,1.68,6,4.15,0,4.15,1,9,NA,6,5,NA,NA,4,NA,7,1,NA,NA,NA,NA,NA,NA,1,2019
277,Santos,3,Suspenso,5,ata,Marinho,68952,34,16.7,5.39,26,10.81,1.32,9.49,9,39,19,24,72,7,7,41,NA,29,NA,3,1,NA,NA,NA,2,NA,2019
293,Athlético-PR,7,Provável,5,ata,Marcelo Cirino,69022,34,0,4.24,27,7.81,0,7.81,NA,21,7,17,25,9,7,36,1,16,NA,2,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,34,12.2,4.86,24,9.65,-0.1,9.75,1,1,NA,NA,4,NA,NA,21,NA,1,10,NA,NA,32,2,19,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Manoel,69014,34,-0.8,3.65,26,10.18,-1.43,11.61,1,25,2,6,13,1,NA,35,NA,29,12,NA,NA,NA,NA,NA,NA,1,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,34,1,4.22,31,7.36,-1.15,8.51,3,NA,NA,NA,3,NA,NA,5,NA,NA,8,NA,NA,61,NA,43,NA,NA,2019
266,Fluminense,5,Contundido,1,gol,Muriel,69041,34,0,5.13,20,6.82,0,6.82,1,1,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,37,NA,21,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Paulo Roberto,69047,34,0,0.68,4,3.66,0,3.66,NA,5,NA,1,7,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Juninho,71937,34,0.1,3.1,29,6.84,-2.05,8.89,4,51,11,21,24,3,NA,70,NA,39,NA,5,NA,NA,NA,NA,NA,1,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,34,0,6.14,5,6.1,0,6.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,12,NA,5,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Pablo,69138,34,0,2.7,10,11.83,0,11.83,3,20,4,12,8,3,9,8,NA,3,NA,NA,NA,NA,NA,NA,1,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Marquinhos Gabriel,68954,34,-0.5,1.48,26,3.67,-0.32,3.9899999999999998,2,13,5,7,18,NA,2,29,NA,17,NA,2,NA,NA,NA,NA,1,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,34,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Ricardo Bueno,69141,34,5.9,3.59,25,14.64,0.36,14.280000000000001,5,32,10,14,44,7,13,30,1,14,NA,2,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,34,6.4,2.28,17,6.07,1.15,4.92,4,37,1,3,11,NA,1,25,NA,46,NA,NA,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,João Carlos,69010,34,0,1.5,11,0.78,0,0.78,1,1,NA,NA,1,NA,NA,5,NA,NA,1,NA,1,18,NA,17,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Boselli,69161,34,0,3.37,17,4.21,0,4.21,3,10,8,7,15,5,2,21,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Nikão,69705,34,-0.1,4.4,21,14.67,-1.06,15.73,2,18,20,22,19,4,5,31,NA,14,NA,2,NA,NA,NA,NA,1,NA,2019
314,Avaí,6,Nulo,2,lat,Léo,69177,34,0,2.43,15,4.35,0,4.35,5,29,NA,8,21,NA,NA,25,NA,21,4,2,2,NA,NA,NA,NA,NA,2019
