clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,DD,GS,SG,CV,FT,DP,GC,ano
264,Corinthians,5,Contundido,5,ata,Everaldo ,91151,24,0,2.62,10,3.91,0,3.91,1,2,15,2,8,15,1,3,7,NA,8,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Tchê Tchê,86686,24,-1.1,1.87,22,4.55,-0.57,5.12,NA,5,29,8,10,31,1,1,46,NA,26,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,2,lat,João Lucas,86740,24,4.6,2.19,20,9.77,0.62,9.15,NA,1,10,5,4,8,1,4,43,NA,23,NA,NA,3,NA,NA,NA,1,2019
266,Fluminense,6,Nulo,4,mei,Dodi,89883,24,-0.3,0.6,2,2.25,-0.35,2.6,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Saulo,89492,24,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Bruno Pacheco,90061,24,2.6,3.68,21,12.85,-0.09,12.94,2,2,36,NA,3,47,NA,NA,54,NA,43,NA,NA,4,1,NA,NA,NA,2019
262,Flamengo,7,Provável,5,ata,Bruno Henrique,90285,24,2.1,6.39,22,19.34,-2.57,21.91,2,5,33,21,26,44,9,6,33,NA,14,NA,NA,NA,NA,3,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Moisés,90444,24,4.5,5.65,20,13.92,0.33,13.59,2,4,38,4,10,10,NA,1,35,NA,52,NA,NA,10,1,NA,NA,NA,2019
266,Fluminense,3,Suspenso,4,mei,Yuri Lima,90569,24,0.9,0.57,14,2.08,-0.5,2.58,NA,6,24,1,2,7,NA,NA,20,NA,21,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,David,90309,24,3.1,1.27,22,5.05,0.59,4.46,2,2,32,12,14,19,NA,9,30,NA,11,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Yago Rocha,90118,24,-0.3,1.58,8,1.31,-1.45,2.76,NA,1,7,NA,NA,5,NA,NA,16,NA,7,NA,NA,3,1,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,5,ata,Pedro Rocha,90302,24,0,3.12,16,10.48,0,10.48,2,1,14,9,7,25,2,3,46,NA,13,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Fabrício Bruno,90768,24,4.1,3.07,10,5.28,0.84,4.44,NA,2,3,NA,1,6,NA,NA,15,NA,8,NA,NA,5,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,1,gol,Elias,90843,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Luiz Fernando ,90715,24,-0.4,1.27,21,3.81,-0.36,4.17,NA,3,21,4,11,28,1,4,28,NA,10,NA,NA,NA,NA,1,NA,NA,2019
275,Palmeiras,2,Dúvida,5,ata,Carlos Eduardo,90917,24,-0.5,-0.2,4,2.89,-0.25,3.14,NA,2,2,NA,1,6,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,3,zag,Klaus,90846,24,0,1.23,10,3.11,-0.08,3.19,NA,1,9,1,NA,3,NA,NA,21,NA,5,NA,NA,3,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Matheus Rossetto,86766,24,0,0.17,6,2.49,0,2.49,NA,2,11,NA,NA,3,NA,NA,15,NA,9,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Everton,86757,24,0,7.22,18,17.27,0,17.27,4,3,11,8,15,12,8,NA,30,NA,24,NA,NA,NA,NA,1,NA,NA,2019
314,Avaí,7,Provável,4,mei,João Paulo,86770,24,0.6,2.63,20,5.55,-0.09,5.64,NA,4,34,6,10,30,2,NA,55,NA,32,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Luan,86759,24,7.3,5.23,18,11.75,0.31,11.44,6,NA,11,7,13,30,4,2,49,NA,11,NA,NA,NA,NA,1,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Jean,90933,24,0,-2,0,3.32,0,3.32,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Zé Marcos,90943,24,0,-0.1,1,0.77,0,0.77,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,1,gol,Jordi,86776,24,8,6.45,23,12.25,1.19,11.06,NA,4,3,NA,NA,3,NA,NA,15,NA,NA,57,32,8,NA,NA,2,NA,2019
265,Bahia,7,Provável,4,mei,Flávio,91102,24,1.5,1.59,16,3.09,0.23,2.86,NA,2,24,1,2,12,NA,1,19,NA,26,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Willian Popp,86890,24,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Ewandro,86842,24,0,-1.25,2,2.26,-0.2,2.46,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Raniel,86797,24,0,2.12,9,6.66,0,6.66,1,2,11,6,8,13,1,3,12,NA,5,NA,NA,NA,1,1,NA,1,2019
282,Atlético-MG,5,Contundido,4,mei,Gustavo Blanco,91191,24,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Pepê,91201,24,3.9,2.73,18,5.51,0.5,5.01,NA,1,10,6,11,12,4,7,26,NA,9,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Perri,91260,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
