clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,A,FT,CV,PP,GC,ano
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,7,-0.4,-1.05,6,0.75,0,0.75,1,10,NA,NA,2,NA,NA,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,7,4,1.7,6,5.19,1.03,4.16,1,9,5,6,9,NA,2,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,7,0,2.5,4,6.52,0,6.52,1,2,NA,4,4,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,7,0,1.2,1,4.3,0,4.3,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,7,0,0,2,5.74,-0.3,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marcelo Cirino,69022,7,7.2,4.57,7,8.1,-0.68,8.78,NA,6,4,5,7,3,2,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Nikão,69705,7,-2.1,5.34,5,16.94,-2.76,19.700000000000003,1,5,4,6,7,1,NA,8,5,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,7,2,2.93,7,4.53,0.44,4.09,NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,9,1,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,7,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,7,5,2.2,6,6.19,1.66,4.53,1,1,NA,NA,1,NA,NA,6,NA,7,NA,7,2,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Rickson,100002,7,0,1.2,1,1.82,0,1.82,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Julinho,73501,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Jackson,70934,7,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Elton,71719,7,1.1,1.32,6,4.67,0.11,4.56,NA,15,NA,2,NA,NA,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Ernando,49651,7,5.5,4.13,7,9.91,0.95,8.96,NA,2,NA,NA,3,1,NA,2,4,NA,NA,NA,3,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,7,0,-0.13,4,3.29,0,3.29,2,5,NA,1,5,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,7,0.1,-1.9,2,3.31,-0.45,3.7600000000000002,2,3,NA,NA,1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rogério,73540,7,0,3.1,5,9.47,0,9.47,NA,6,5,2,9,1,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,1,gol,Douglas Friedrich,78584,7,10,6.42,6,11.13,1.71,9.420000000000002,NA,NA,NA,NA,2,NA,NA,NA,1,11,NA,6,3,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Gilberto,61188,7,0,6.67,6,17.49,0,17.49,NA,4,4,7,1,2,NA,8,5,NA,NA,NA,NA,2,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Fabinho,80393,7,2,2.11,7,6.08,-0.24,6.32,1,6,NA,1,5,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Élber,74140,7,4,4.25,4,6.41,-0.09,6.5,NA,2,1,2,10,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Fernandão,62033,7,8,2.68,6,7.15,1.57,5.58,NA,2,4,6,2,1,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Arthur Caíke,80337,7,1.3,3.44,5,10.24,-0.15,10.39,NA,5,2,4,2,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Lucas Fonseca,80189,7,6.2,2.6,7,5.71,1.16,4.55,NA,1,1,NA,2,NA,NA,15,4,NA,NA,NA,3,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Clayton,81770,7,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Helerson,101073,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Andrew,103183,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Moisés,90444,7,4.7,4.88,5,12.37,0.88,11.489999999999998,2,12,1,3,1,NA,NA,9,12,NA,NA,NA,2,1,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rhuan,102958,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Jonathan,102597,7,0,2,3,1.87,0,1.87,2,2,1,NA,2,NA,NA,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Iago,90894,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandinho,91130,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
