clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,I,PE,RB,CV,SG,DD,GS,DP,A,G,PP,FT,GC,ano
284,Grêmio,7,Provável,4,mei,Maicon,38196,29,0,3.82,10,9.32,0,9.32,4,11,2,2,6,NA,29,13,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,29,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,29,0.4,2.03,22,8.95,0.24,8.709999999999999,4,24,2,2,15,2,40,15,NA,4,NA,NA,NA,1,2,NA,1,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,29,8.8,5.31,23,12.55,0.16,12.39,6,43,15,16,33,10,36,8,NA,NA,NA,NA,NA,2,12,NA,2,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Lucas Halter,102253,29,0,1.61,9,3.09,0,3.09,1,5,2,3,2,NA,8,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Iury,101846,29,0,2.94,10,6.43,0,6.43,1,14,NA,3,10,NA,30,10,NA,4,NA,NA,NA,1,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Rafael Moura,37655,29,7.5,0.87,14,4.28,-0.31,4.59,2,29,3,7,16,3,17,6,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,29,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Gabriel Calabres,101911,29,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Toró,101885,29,0,2.18,15,4.99,0,4.99,1,19,3,10,20,3,28,11,1,NA,NA,NA,NA,1,2,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,29,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Braian Romero,101997,29,0,3.27,12,4.89,0,4.89,1,18,3,6,14,2,15,11,NA,NA,NA,NA,NA,1,2,NA,1,NA,2019
315,Chapecoense,6,Nulo,2,lat,Eduardo,50645,29,5,2.6,18,8.62,0.49,8.129999999999999,3,18,1,NA,22,NA,49,23,NA,5,NA,NA,NA,1,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Cícero,37688,29,0,2.88,25,11.34,0,11.34,8,22,7,9,50,4,36,28,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hulk,102700,29,0,2.5,1,2.75,0,2.75,NA,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Vitinho,101960,29,0,2.93,10,2.74,0,2.74,NA,15,6,7,5,NA,8,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Igor Goularte,101889,29,0.7,1.72,5,2.61,-0.02,2.63,NA,3,1,1,4,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Moresche,102719,29,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Jairinho,102139,29,0,1.77,4,2.89,0,2.89,NA,1,2,1,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Rodrigo Fernandes,102771,29,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
