clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,DP,FS,GS,PE,SG,CV,FC,FD,FF,RB,A,G,I,FT,PP,GC,ano
266,Fluminense,6,Nulo,3,zag,Matheus Ferraz,38632,36,0,3.56,7,6.23,0,6.23,1,NA,NA,2,NA,6,NA,NA,7,4,3,11,NA,1,1,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,36,-2.2,2.16,24,5.62,-0.27,5.890000000000001,2,NA,NA,36,NA,76,NA,1,22,5,19,15,2,3,2,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Diego,38909,36,2.9,1.35,14,5.1,0.36,4.739999999999999,5,NA,NA,25,NA,33,NA,NA,12,8,9,9,NA,NA,NA,2,1,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,36,0,3.34,25,12.79,0,12.79,4,NA,NA,24,NA,26,NA,NA,23,13,15,24,4,2,1,NA,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,36,-2.1,5.15,18,14.85,-1.75,16.6,4,NA,NA,38,NA,68,6,NA,40,4,11,31,3,2,4,1,NA,NA,2019
282,Atlético-MG,7,Provável,6,tec,Vagner Mancini,39850,36,2.5,3.22,11,7.12,0.07,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,36,7.56,4.54,36,13.58,1.2,12.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,36,2,2.15,26,5.36,0.25,5.11,4,NA,NA,36,NA,33,NA,NA,30,5,11,14,NA,5,9,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Douglas,38738,36,0,0.27,12,5.08,0,5.08,1,NA,NA,8,NA,34,NA,NA,3,1,6,2,1,NA,2,NA,NA,NA,2019
315,Chapecoense,2,Dúvida,5,ata,Renato,39572,36,1.9,2.29,15,5.15,-0.42,5.57,2,NA,NA,33,NA,15,NA,NA,8,5,8,12,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Adilson Batista,41258,36,-0.16,3.15,14,10,-0.38,10.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,36,3.44,3.06,30,8.6,0.19,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Amaral,42232,36,-1,0.54,13,2.44,-0.11,2.55,3,NA,NA,2,NA,7,NA,NA,17,NA,4,13,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Márcio Azevedo,42491,36,0,3.18,25,7.83,0,7.83,6,NA,NA,24,NA,56,11,NA,37,1,5,22,3,1,3,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,5,ata,Willian,42116,36,2.2,2.28,20,7.66,0.78,6.88,3,NA,NA,18,NA,27,NA,1,14,7,6,6,1,4,5,2,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,36,0,2.35,8,4.24,0,4.24,1,NA,NA,5,NA,15,4,1,7,NA,1,7,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,36,10.2,3.36,30,7.73,0.24,7.49,3,NA,NA,20,NA,39,NA,1,26,8,18,14,5,6,1,3,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,36,8.2,3.39,28,9.2,0.28,8.92,6,31,1,7,26,14,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Maurício Ramos,42477,36,0,1.72,15,4.2,0.6,3.6,2,NA,NA,9,NA,15,5,NA,18,2,1,7,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,3,zag,Rhodolfo,42501,36,-1.6,2.07,8,3.64,-0.52,4.16,NA,NA,NA,1,NA,6,3,NA,9,1,2,3,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,36,0.4,3.85,24,9.07,-0.1,9.17,2,NA,NA,23,NA,69,8,NA,33,8,8,41,1,NA,1,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,36,0,-0.11,10,2.06,0,2.06,2,NA,NA,12,NA,7,NA,1,10,NA,NA,6,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,36,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ernando,49651,36,0,4.64,8,10.78,0,10.78,NA,NA,NA,4,NA,3,4,NA,2,NA,NA,4,NA,1,NA,1,NA,NA,2019
284,Grêmio,5,Contundido,1,gol,Júlio César,49673,36,0,4.34,8,6.29,0,6.29,NA,17,NA,NA,13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Ramires,50293,36,2.8,1.66,5,6.32,0.21,6.11,NA,NA,NA,5,NA,1,NA,NA,4,1,3,3,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,36,-0.1,5.03,26,12.49,-1.81,14.3,6,NA,NA,40,NA,83,11,NA,25,5,5,48,3,1,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Alexandre Pato,49675,36,0,3.81,20,8.27,0,8.27,2,NA,NA,29,NA,37,NA,NA,19,13,20,14,NA,5,13,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,36,0,2.06,16,8.73,0,8.73,3,NA,NA,10,NA,18,NA,NA,26,4,1,23,1,1,1,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,36,0,3.18,8,5.28,0,5.28,NA,NA,NA,6,NA,13,NA,NA,14,1,2,17,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,36,0,1.97,3,4.21,0,4.21,NA,8,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,36,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,36,0,0.87,7,3.99,0,3.99,NA,NA,NA,3,NA,7,NA,NA,10,2,1,6,NA,NA,1,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Elicarlos,50313,36,5.2,1.06,18,5.01,0.43,4.58,5,NA,NA,20,NA,27,NA,NA,23,3,10,18,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,4,mei,Guilherme,50294,36,-3,-0.52,8,2.04,-0.66,2.7,3,NA,NA,3,NA,7,NA,NA,6,NA,3,2,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,36,0,1.68,16,7.34,0,7.34,3,NA,NA,22,NA,31,NA,NA,32,3,3,18,2,1,7,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Léo,50459,36,0.8,1.65,16,6.05,0.18,5.87,1,NA,NA,6,NA,17,3,NA,21,1,1,16,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,36,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,36,6.3,3.09,23,9.07,0.6,8.47,3,NA,NA,24,NA,61,7,NA,24,2,6,32,1,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,36,0,1.23,15,2.99,0,2.99,3,NA,NA,16,NA,7,NA,NA,17,1,1,17,NA,NA,1,NA,NA,NA,2019
341,CSA,3,Suspenso,2,lat,Apodi,51042,36,0.9,2.77,32,5.8,-0.39,6.1899999999999995,6,NA,NA,48,NA,53,8,NA,51,14,14,13,1,4,13,NA,NA,NA,2019
354,Ceará,2,Dúvida,3,zag,Tiago Alves,51495,36,0,2.02,21,5.5,0,5.5,1,NA,NA,4,NA,28,4,NA,15,2,2,13,1,1,2,1,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,36,0,7.22,6,8.36,0,8.36,NA,13,1,1,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,36,0,0.98,12,4.09,0,4.09,NA,NA,NA,3,NA,24,2,NA,5,NA,3,5,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,36,0,0.88,16,4.09,0,4.09,4,NA,NA,6,NA,21,1,NA,5,1,NA,9,NA,1,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,36,0,3.46,29,12.62,0,12.62,3,NA,NA,45,NA,84,NA,NA,27,11,16,36,7,1,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,36,0,2.05,10,3.52,0,3.52,5,NA,NA,1,NA,12,4,NA,12,NA,NA,13,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,36,0,-2.8,1,1.72,0,1.72,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Elias,54395,36,0,1.45,24,8.31,0,8.31,3,NA,NA,17,NA,63,NA,1,29,5,8,28,1,1,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,36,-0.1,4.38,27,11.64,-0.43,12.07,3,NA,NA,20,NA,42,6,NA,11,5,14,41,2,1,1,2,NA,NA,2019
282,Atlético-MG,2,Dúvida,1,gol,Victor,52950,36,0,3.32,9,6.56,0,6.56,1,17,NA,NA,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,36,0,1.11,12,5.81,0,5.81,2,NA,NA,12,NA,11,NA,NA,6,NA,2,3,NA,2,1,NA,1,NA,2019
263,Botafogo,5,Contundido,2,lat,Gilson,52674,36,0,1.68,18,5.35,0,5.35,3,NA,NA,16,NA,37,5,2,20,NA,1,19,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Dedé,60819,36,0,5.08,20,14.63,0,14.63,2,NA,NA,21,NA,45,8,NA,14,4,6,28,NA,3,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Lucca,61149,36,0,1.97,16,5.45,0,5.45,1,NA,NA,26,NA,21,NA,NA,15,10,10,10,NA,NA,1,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,36,1.2,2.92,19,3.83,-0.28,4.11,2,NA,NA,5,NA,44,6,NA,25,2,5,26,2,NA,5,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,36,0,-0.2,4,3.01,0,3.01,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,36,7.4,6.06,30,17.19,0.62,16.57,2,NA,NA,20,NA,39,NA,NA,31,17,30,23,3,13,8,3,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Patric,60969,36,-3.6,2.09,22,3.44,-1.68,5.12,4,NA,NA,8,NA,57,5,NA,32,6,10,24,1,1,2,NA,NA,1,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,36,7.7,4.1,32,12.12,1.56,10.559999999999999,1,45,1,9,31,5,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,36,-0.3,2.1,30,6.18,0.07,6.109999999999999,1,NA,NA,18,NA,14,NA,1,12,9,20,6,NA,5,9,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,36,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,36,0,2.48,5,5.52,0,5.52,2,NA,NA,7,NA,9,NA,NA,3,1,3,4,NA,1,1,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,36,0,0.87,21,6.08,0,6.08,6,NA,NA,19,NA,80,NA,NA,8,12,11,8,2,1,7,1,1,NA,2019
277,Santos,2,Dúvida,2,lat,Pará,62086,36,0,1.98,16,3.52,0,3.52,4,NA,NA,10,NA,17,5,1,19,NA,1,19,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,36,0,-0.04,7,3.5,0,3.5,NA,NA,NA,1,NA,7,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Robinho,62104,36,0,0.6,26,5.89,0,5.89,8,NA,NA,28,NA,98,NA,NA,34,7,16,20,1,1,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,36,0,0.37,7,1.83,0,1.83,NA,NA,NA,3,NA,5,1,NA,5,3,NA,2,NA,NA,3,NA,NA,1,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,36,0,4.54,21,10.17,0,10.17,1,NA,NA,31,NA,24,NA,NA,23,2,2,57,NA,1,NA,1,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,36,0,7.97,6,22.89,0,22.89,NA,15,NA,2,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,36,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,36,-2,1.16,9,4.71,-0.45,5.16,2,NA,NA,6,NA,11,NA,NA,8,1,3,6,2,NA,1,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,36,0,-0.73,27,0.78,0,0.78,11,NA,NA,14,NA,61,NA,NA,48,4,3,17,1,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,4,mei,Ganso,62977,36,0,1.71,27,7.35,0,7.35,8,NA,NA,37,NA,84,NA,NA,31,13,14,30,NA,2,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,36,1.6,6.16,23,15.99,-0.19,16.18,3,NA,NA,31,NA,75,8,NA,36,1,5,77,1,1,2,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,36,0,-0.67,6,2.22,0,2.22,NA,7,NA,1,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Didira,63178,36,0,1.29,14,4.69,0,4.69,3,NA,NA,15,NA,21,NA,NA,15,2,3,17,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,3,Suspenso,3,zag,Douglas,63128,36,-3.3,1.11,25,2.15,-1.05,3.2,9,NA,NA,9,NA,19,5,NA,27,2,5,16,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Paulão,63172,36,-1.1,3.55,11,5.81,-0.17,5.9799999999999995,1,NA,NA,4,NA,18,3,NA,7,1,1,10,NA,2,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Alan Ruschel,63110,36,-1.1,1.43,15,4.28,-0.16,4.44,7,NA,NA,23,NA,12,3,NA,23,3,1,8,NA,1,1,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Carlinhos,63194,36,0,2.83,25,6.16,0,6.16,6,NA,NA,18,NA,47,4,1,50,4,7,47,2,1,2,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,36,8.3,4.14,16,7.63,0.96,6.67,2,NA,NA,10,NA,14,5,NA,9,4,6,21,NA,1,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,36,-3.6,2.44,28,7.53,-0.62,8.15,8,NA,NA,20,NA,61,NA,NA,30,8,4,30,2,5,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,36,-0.4,3.38,26,7.73,0.35,7.380000000000001,5,NA,NA,52,NA,76,NA,NA,54,6,22,50,1,3,6,NA,1,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,36,0,2.26,13,6.66,0,6.66,4,NA,NA,15,NA,25,NA,NA,24,4,4,28,NA,NA,1,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Camacho,68770,36,3.7,1.71,9,4.16,1.13,3.0300000000000002,2,NA,NA,4,NA,12,NA,NA,17,1,1,15,1,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Bergson,68696,36,0.5,2.73,22,4.94,-0.34,5.28,3,NA,NA,31,NA,21,NA,NA,23,17,16,11,1,3,12,NA,1,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,36,0,1.77,4,6.18,0,6.18,NA,NA,NA,5,NA,3,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,36,0,2.22,17,7.95,0,7.95,3,NA,NA,19,NA,18,NA,NA,20,6,6,10,2,2,5,1,1,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,36,0,3.74,17,7,0,7,2,NA,NA,6,NA,37,8,NA,24,5,2,25,NA,NA,1,1,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,David Braz,50317,36,0,5.33,17,9.31,0,9.31,NA,NA,NA,2,NA,18,5,NA,13,4,12,24,2,2,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Nino Paraíba,68808,36,0,5.2,27,12.88,0,12.88,4,NA,NA,38,NA,62,10,NA,34,8,8,40,4,2,NA,1,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Henrique Almeida,68773,36,0,4.03,12,5.23,0,5.23,3,NA,NA,11,NA,16,NA,NA,11,8,12,11,NA,3,1,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,36,0,2.3,12,4.96,0,4.96,2,NA,NA,4,NA,14,4,NA,14,1,NA,11,NA,1,NA,NA,NA,1,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,36,0,3.68,19,6.65,0,6.65,3,NA,NA,14,NA,19,8,2,26,1,3,31,NA,1,1,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,36,7.4,4.4,27,7.96,1.09,6.87,1,37,NA,2,21,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,36,0,5.08,15,5.45,0,5.45,NA,NA,NA,8,NA,27,6,1,14,4,2,17,3,2,1,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,36,-1.3,2.06,20,4.99,-0.51,5.5,1,NA,NA,26,NA,28,NA,NA,5,6,10,9,1,1,1,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,36,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
