clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FF,PE,RB,FD,FS,SG,DD,DP,GS,A,CA,G,FT,I,CV,PP,GC,ano
290,Goiás,6,Nulo,5,ata,Rafael Moura,37655,13,0,0,1,3.8,0,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,13,-0.1,2.08,8,7.09,0.24,6.85,5,1,9,1,NA,12,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Victor,52950,13,0,3.32,9,6.56,0,6.56,NA,NA,7,NA,NA,NA,1,17,NA,11,NA,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,5,Contundido,4,mei,Ralf,52190,13,0,4.41,9,11.51,0,11.51,9,1,16,25,1,17,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,13,-1.3,3.34,10,11.22,-1.04,12.260000000000002,9,3,41,14,4,19,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,13,6.6,2.27,9,5.86,1.59,4.2700000000000005,10,1,18,10,NA,8,4,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,13,6.2,4.57,10,12.29,0.36,11.93,2,4,13,17,2,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,13,0.1,5.37,11,14.94,-1.95,16.89,9,5,26,20,4,11,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,13,0,0.6,5,2.8,0,2.8,5,NA,5,5,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Patric,60969,13,4,1.73,7,4.27,0.23,4.039999999999999,16,4,21,4,1,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,13,0,1.5,1,4.08,0,4.08,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,13,-0.4,1.85,11,8.85,-0.41,9.26,11,2,31,15,2,9,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,13,0,-0.55,6,2.46,-0.58,3.04,6,NA,6,4,NA,9,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,13,0,3.98,4,2.83,0,2.83,9,3,9,10,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Lucca,61149,13,1.6,2.43,3,5.27,-0.15,5.42,3,3,4,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,13,7.5,3.83,8,7.64,0.98,6.66,9,8,20,7,6,9,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,13,22.4,6.5,10,17.95,4.4,13.549999999999999,5,8,14,7,4,3,NA,NA,NA,NA,2,NA,5,NA,3,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,13,0,2.48,5,5.52,0,5.52,3,3,9,4,1,7,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,13,0.5,1.85,7,6.85,-1.23,8.08,NA,4,25,1,4,6,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,13,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Cícero,37688,13,0.9,5.62,12,13.23,-1.31,14.540000000000001,5,7,25,17,2,35,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,2019
265,Bahia,3,Suspenso,5,ata,Fernandão,62033,13,-1.5,2.58,12,6.31,-0.58,6.89,4,9,6,5,5,10,NA,NA,NA,NA,NA,NA,2,NA,4,1,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Robinho,62104,13,-0.7,1.46,8,6.27,0.01,6.26,14,6,46,10,1,9,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,13,7.9,4.1,9,8.52,0.48,8.04,11,7,12,22,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Pará,62086,13,0,2.43,6,5.42,0,5.42,6,NA,8,9,NA,5,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,13,0,4.12,5,6.34,0,6.34,2,NA,13,5,NA,6,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,13,0,-1,1,4.33,0,4.33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,13,0,7.97,6,22.89,0,22.89,NA,NA,4,NA,NA,2,3,15,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,13,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Edinho,37792,13,0,-3.4,1,1.89,0,1.89,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Wellington,62129,13,0,-1.34,10,0.76,0,0.76,17,NA,23,6,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,13,0,-2.3,1,3.31,0,3.31,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,13,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,13,1.8,3.39,9,6.99,-0.05,7.04,7,9,9,5,10,6,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,13,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,5,ata,Rogério,73540,13,0,2.95,7,9.4,0,9.4,7,4,7,3,5,11,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,13,4.02,3.67,13,10.99,0.43,10.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,13,0,-1.08,5,0.75,0,0.75,4,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,13,0,2.6,4,6.27,0,6.27,2,1,3,2,NA,2,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,2019
267,Vasco,7,Provável,1,gol,Fernando Miguel,71571,13,7.7,3.58,5,7.63,0.49,7.14,NA,NA,2,NA,NA,1,2,6,NA,4,NA,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,13,3.6,2.74,8,8.41,0.11,8.3,7,8,25,9,5,14,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,2,lat,Alan Ruschel,63110,13,0,0.8,6,4.44,0,4.44,16,1,8,4,2,14,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,13,-0.5,6.97,7,15.59,-1.13,16.72,13,2,21,19,NA,7,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,13,0,-0.67,6,2.22,0,2.22,NA,NA,5,NA,NA,1,NA,7,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Willian Farias,63058,13,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,2,Dúvida,3,zag,Fábio Sanches,71604,13,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Douglas,63128,13,0,0.3,10,3.12,0,3.12,15,4,9,6,NA,2,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,4,mei,Geovane,71667,13,-0.1,1.11,12,3.61,-0.51,4.12,30,8,31,20,1,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Didira,63178,13,-1.1,1.73,11,5.28,-0.07,5.3500000000000005,13,3,21,16,2,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,1,gol,Weverton,71631,13,3.7,4.92,8,14.55,0.85,13.700000000000001,NA,NA,4,NA,NA,3,3,12,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,3,Suspenso,2,lat,Carlinhos,63194,13,-4.8,3.53,12,5.58,-1.17,6.75,21,6,25,26,3,9,1,NA,NA,NA,1,2,1,NA,1,1,NA,NA,2019
277,Santos,6,Nulo,4,mei,Evandro,37614,13,1.6,1.6,1,5.05,-0.95,6,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,5,ata,Manga Escobar,71704,13,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,3,zag,Gustavo Gómez,71684,13,2.4,3.85,4,13.15,-0.18,13.33,2,NA,5,4,2,5,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,4,mei,Edenílson,63289,13,5.2,3.22,10,9.01,0.74,8.27,10,1,24,8,3,10,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Agenor,71724,13,0,2.37,6,3.05,0,3.05,NA,NA,1,NA,NA,3,1,9,NA,7,NA,NA,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Luan,63219,13,0,3.08,10,7.36,0,7.36,16,7,33,22,3,19,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,2019
265,Bahia,5,Contundido,4,mei,Elton,71719,13,0,1.71,9,5.22,0,5.22,19,4,15,18,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,13,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Júnior Urso,71829,13,5.6,2.27,9,7.52,1.05,6.47,10,4,16,13,5,12,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,13,0,4.68,5,7.09,0,7.09,1,1,2,6,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,13,2.7,2.27,10,8.69,0.23,8.459999999999999,10,4,11,6,4,11,NA,NA,NA,NA,1,1,1,1,3,NA,1,NA,2019
354,Ceará,6,Nulo,4,mei,Juninho Quixadá,71787,13,0,0,1,3.8,0,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,3,zag,Pedro Geromel,80853,13,11,7,9,14.86,1.24,13.62,6,3,12,27,1,7,4,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,1,gol,Diogo Silva,71882,13,4.5,5.24,13,11.28,0.18,11.1,NA,NA,3,NA,NA,4,3,26,NA,11,NA,2,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,2,lat,Raúl Cáceres,71680,13,0,-1.95,2,1.8,0,1.8,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Thiago Galhardo,71844,13,12.5,6.65,10,12.1,1.46,10.64,8,7,29,11,8,15,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,4,mei,Michel,71920,13,0,2.07,7,5.27,0,5.27,11,1,9,21,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2019
356,Fortaleza,7,Provável,4,mei,Juninho,71937,13,9.4,4.05,11,7.89,1.37,6.52,18,9,26,18,6,6,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,1,2019
264,Corinthians,7,Provável,2,lat,Danilo Avelar,72142,13,2.5,5.34,9,8.13,-1.48,9.610000000000001,12,2,17,11,5,13,5,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Bruno Cortez,72079,13,0,1.5,3,4.51,-1.08,5.59,3,NA,5,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Giovanni,72097,13,4.2,5.8,2,5.79,0.09,5.7,1,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Amaral,72071,13,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,1,gol,Tiago Volpi,72018,13,0,5.09,12,10.34,0,10.34,NA,NA,8,NA,NA,3,5,17,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Luiz Otávio,72359,13,1,2.14,12,9.5,0.16,9.34,18,1,13,14,1,7,3,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,João Paulo,72168,13,6.7,2.62,12,8.79,1.18,7.609999999999999,6,4,42,15,4,15,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Jailson,72290,13,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rodrigo Lindoso,72362,13,0,4.57,10,9.36,0,9.36,12,5,17,26,4,6,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,1,gol,Éverson,72294,13,-1.8,4.1,7,7.17,-0.58,7.75,NA,NA,6,NA,NA,3,4,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,1,gol,Felipe Alves,72372,13,2.2,3.64,12,8.61,0.84,7.77,1,NA,11,NA,NA,1,1,25,1,18,NA,2,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Gustavo Campanharo,72497,13,10.7,3,11,5.93,1.56,4.369999999999999,12,4,13,16,1,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Fernando Diniz,72391,13,4.9,2.78,13,6.97,0.6,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Benítez,73155,13,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,2,lat,Celsinho,72494,13,0,1.3,4,3.07,0,3.07,2,NA,11,4,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Luiz Adriano,72772,13,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Juanfran,72620,13,0,0,0,13,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Renê Júnior,73281,13,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,3,zag,Vitor Hugo,72605,13,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,3,Suspenso,2,lat,Samuel Xavier,73384,13,1.1,3.98,13,12.59,0.27,12.32,13,5,36,18,2,29,3,NA,NA,NA,2,3,NA,1,2,NA,NA,NA,2019
341,CSA,7,Provável,6,tec,Argel Fucks,73317,13,3.47,2.38,4,5.25,0.28,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,2,Dúvida,3,zag,Rafael Vaz,73421,13,-0.9,3.26,7,10.34,-1.18,11.52,2,NA,22,6,2,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019
356,Fortaleza,5,Contundido,5,ata,Éderson,73446,13,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Maranhão,73513,13,1.7,1.94,9,3.68,-0.02,3.7,9,3,12,5,1,15,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Julinho,73501,13,0,1.95,4,2.14,0,2.14,4,2,9,6,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Glédson,73533,13,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,13,0,3.01,7,5.98,0,5.98,12,1,23,10,1,2,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Wellington Nem,73619,13,0,0,1,4.6,-1.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Bruno Silva,68698,13,0,3.82,4,7.73,0,7.73,10,2,10,12,1,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,3,zag,Bruno Alves,73620,13,0,2.9,12,6.66,0,6.66,20,3,16,14,1,4,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,13,0,1.2,1,4.3,0,4.3,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marco Ruben,73741,13,0,4.02,7,13.92,0,13.92,10,3,9,4,7,4,NA,NA,NA,NA,1,NA,1,2,4,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Cuéllar,71709,13,0,5.11,7,12.46,0,12.46,8,1,9,27,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Nenê Bonilha,73608,13,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,5,Contundido,4,mei,Gilberto,73789,13,0,1,1,2.47,0,2.47,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Bergson,68696,13,0,1.4,8,4.48,0,4.48,10,8,9,4,5,9,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Henrique Almeida,68773,13,0,1,1,3.34,0,3.34,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Jean Cléber,73858,13,1.5,0.58,4,2.18,0.14,2.04,3,1,5,3,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Bruno Peres,73962,13,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Marcos Vinícius,73721,13,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,3,zag,Rodrigo Caio,73800,13,0,3.82,10,8.47,0,8.47,10,10,12,10,2,6,3,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Geuvânio,73896,13,2.7,3.13,12,12.22,0.19,12.030000000000001,17,10,17,13,6,21,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,13,5,5,12,11.45,-0.22,11.67,NA,NA,NA,NA,NA,4,4,20,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,13,14,5.47,9,13.94,1.63,12.309999999999999,12,4,22,16,3,14,4,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,2,lat,Rafael Galhardo,68821,13,0,2.1,2,3,0,3,1,NA,6,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Paulo Miranda,68817,13,0,0.6,2,4.24,0,4.24,3,NA,1,3,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2019
277,Santos,2,Dúvida,4,mei,Alison,73974,13,0,1.6,6,4.24,0,4.24,12,1,9,15,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
290,Goiás,2,Dúvida,4,mei,Marlone,80944,13,-1.8,1.28,10,5.09,-0.37,5.46,4,2,11,3,NA,6,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Rithely,68834,13,4.2,4.37,4,5.79,-0.1,5.89,7,2,6,8,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,Rodinei,73992,13,0,0.8,6,2.75,0,2.75,6,1,5,5,NA,2,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Matheus Barbosa,74069,13,0,1.67,6,3.8,0,3.8,8,2,16,10,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Paulo Victor,68873,13,-5.5,3.37,10,4.63,-1.85,6.48,NA,NA,9,NA,NA,1,4,12,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,1,gol,Gatito Fernández,74061,13,5,3.3,11,7.8,1.45,6.35,NA,NA,9,NA,NA,2,5,13,NA,10,NA,3,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Guerra,74213,13,0,-0.5,1,3.67,0,3.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,13,3.1,0.5,3,5.53,0.91,4.62,5,1,6,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2019
