rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
12;293;266;0;3;Atlético-PR;Fluminense;2014;27/07/2014 16:00;Arena da Baixada
13;263;283;1;1;Botafogo;Cruzeiro;2014;02/08/2014 18:30;Maracanã
13;266;290;2;0;Fluminense;Goiás;2014;03/08/2014 18:30;Maracanã
13;275;265;1;1;Palmeiras;Bahia;2014;03/08/2014 16:00;Pacaembu
13;276;288;1;1;São Paulo;Criciúma;2014;02/08/2014 18:30;Morumbi
13;282;293;3;1;Atlético-MG;Atlético-PR;2014;03/08/2014 18:30;Independência
13;285;277;1;0;Internacional;Santos;2014;03/08/2014 18:30;Beira-Rio
13;287;284;2;1;Vitória;Grêmio;2014;02/08/2014 21:00;Manoel Barradas
13;294;264;0;0;Coritiba;Corinthians;2014;03/08/2014 16:00;Couto Pereira
13;315;262;1;0;Chapecoense;Flamengo;2014;03/08/2014 16:00;Arena Condá
13;316;292;3;0;Figueirense;Sport;2014;03/08/2014 16:00;Orlando Scarpelli
14;262;292;1;0;Flamengo;Sport;2014;10/08/2014 16:00;Maracanã
14;265;290;1;0;Bahia;Goiás;2014;09/08/2014 18:30;Fonte Nova
14;266;294;1;1;Fluminense;Coritiba;2014;09/08/2014 21:00;Maracanã
14;276;287;3;1;São Paulo;Vitória;2014;10/08/2014 18:30;Morumbi
14;277;264;0;1;Santos;Corinthians;2014;10/08/2014 16:00;Vila Belmiro
14;282;275;2;1;Atlético-MG;Palmeiras;2014;10/08/2014 18:30;Independência
14;285;284;2;0;Internacional;Grêmio;2014;10/08/2014 16:00;Beira-Rio
14;288;283;0;0;Criciúma;Cruzeiro;2014;09/08/2014 18:30;Estádio Heriberto Hülse
14;293;263;2;0;Atlético-PR;Botafogo;2014;10/08/2014 16:00;Arena da Baixada
14;315;316;0;1;Chapecoense;Figueirense;2014;10/08/2014 18:30;Arena Condá
15;263;266;2;0;Botafogo;Fluminense;2014;17/08/2014 18:30;Mané Garrincha
15;264;265;1;1;Corinthians;Bahia;2014;16/08/2014 21:00;Arena Corinthians
15;275;276;1;2;Palmeiras;São Paulo;2014;17/08/2014 16:00;Pacaembu
15;283;277;3;0;Cruzeiro;Santos;2014;17/08/2014 16:00;Mineirão
15;284;288;2;0;Grêmio;Criciúma;2014;17/08/2014 16:00;Arena do Grêmio
15;287;315;0;0;Vitória;Chapecoense;2014;17/08/2014 16:00;Manoel Barradas
15;290;285;0;1;Goiás;Internacional;2014;16/08/2014 18:30;Serra Dourada
15;292;293;1;1;Sport;Atlético-PR;2014;17/08/2014 18:30;Ilha do Retiro
15;294;262;0;1;Coritiba;Flamengo;2014;17/08/2014 16:00;Couto Pereira
15;316;282;2;2;Figueirense;Atlético-MG;2014;17/08/2014 18:30;Orlando Scarpelli
16;262;282;2;1;Flamengo;Atlético-MG;2014;20/08/2014 22:00;Maracanã
16;264;290;5;2;Corinthians;Goiás;2014;21/08/2014 19:30;Arena Corinthians
16;265;288;0;0;Bahia;Criciúma;2014;20/08/2014 21:00;Fonte Nova
16;277;293;2;0;Santos;Atlético-PR;2014;20/08/2014 19:30;Vila Belmiro
16;283;284;1;0;Cruzeiro;Grêmio;2014;21/08/2014 20:30;Mineirão
16;285;276;0;1;Internacional;São Paulo;2014;20/08/2014 22:00;Beira-Rio
16;292;275;2;1;Sport;Palmeiras;2014;20/08/2014 19:30;Arena Pernambuco
16;294;287;2;0;Coritiba;Vitória;2014;20/08/2014 21:00;Couto Pereira
16;315;266;1;0;Chapecoense;Fluminense;2014;20/08/2014 22:00;Arena Condá
16;316;263;1;0;Figueirense;Botafogo;2014;20/08/2014 19:30;Orlando Scarpelli
17;263;315;1;0;Botafogo;Chapecoense;2014;23/08/2014 18:30;Maracanã
17;266;292;4;0;Fluminense;Sport;2014;24/08/2014 16:00;Maracanã
17;275;294;1;0;Palmeiras;Coritiba;2014;23/08/2014 21:00;Pacaembu
17;276;277;2;1;São Paulo;Santos;2014;24/08/2014 16:00;Morumbi
17;282;285;1;0;Atlético-MG;Internacional;2014;23/08/2014 18:30;Independência
17;284;264;2;1;Grêmio;Corinthians;2014;24/08/2014 16:00;Arena do Grêmio
17;287;316;0;1;Vitória;Figueirense;2014;24/08/2014 16:00;Manoel Barradas
17;288;262;0;2;Criciúma;Flamengo;2014;24/08/2014 16:00;Estádio Heriberto Hülse
17;290;283;0;1;Goiás;Cruzeiro;2014;24/08/2014 18:30;Serra Dourada
17;293;265;0;0;Atlético-PR;Bahia;2014;24/08/2014 18:30;Arena da Baixada
18;263;277;1;0;Botafogo;Santos;2014;31/08/2014 16:00;Maracanã
18;264;266;1;1;Corinthians;Fluminense;2014;31/08/2014 16:00;Arena Corinthians
18;275;285;0;1;Palmeiras;Internacional;2014;30/08/2014 18:30;Pacaembu
18;283;315;4;2;Cruzeiro;Chapecoense;2014;30/08/2014 18:30;Mineirão
18;284;265;1;0;Grêmio;Bahia;2014;31/08/2014 18:30;Arena do Grêmio
18;287;262;1;2;Vitória;Flamengo;2014;31/08/2014 18:30;Manoel Barradas
18;290;293;3;1;Goiás;Atlético-PR;2014;31/08/2014 18:30;Serra Dourada
18;292;288;2;0;Sport;Criciúma;2014;31/08/2014 16:00;Ilha do Retiro
18;294;282;0;0;Coritiba;Atlético-MG;2014;31/08/2014 16:00;Couto Pereira
18;316;276;1;1;Figueirense;São Paulo;2014;31/08/2014 16:00;Orlando Scarpelli
19;262;284;0;1;Flamengo;Grêmio;2014;06/09/2014 18:30;Maracanã
19;265;294;0;0;Bahia;Coritiba;2014;07/09/2014 18:30;Fonte Nova
19;266;283;3;3;Fluminense;Cruzeiro;2014;07/09/2014 16:00;Maracanã
19;276;292;2;0;São Paulo;Sport;2014;07/09/2014 16:00;Morumbi
19;277;287;3;1;Santos;Vitória;2014;06/09/2014 18:30;Pacaembu
19;282;263;1;0;Atlético-MG;Botafogo;2014;07/09/2014 16:00;Independência
19;285;316;2;3;Internacional;Figueirense;2014;07/09/2014 18:30;Beira-Rio
19;288;264;0;0;Criciúma;Corinthians;2014;07/09/2014 16:00;Estádio Heriberto Hülse
19;293;275;1;1;Atlético-PR;Palmeiras;2014;07/09/2014 18:30;Arena da Baixada
19;315;290;0;0;Chapecoense;Goiás;2014;06/09/2014 21:00;Arena Condá
20;263;276;2;4;Botafogo;São Paulo;2014;10/09/2014 22:00;Estadio Nacional de Brasilia
20;264;282;1;0;Corinthians;Atlético-MG;2014;11/09/2014 19:30;Arena Corinthians
20;275;288;1;0;Palmeiras;Criciúma;2014;10/09/2014 19:30;Pacaembu
20;283;265;2;1;Cruzeiro;Bahia;2014;11/09/2014 20:30;Estádio Mineirão
20;284;293;1;0;Grêmio;Atlético-PR;2014;10/09/2014 19:30;Arena do Grêmio
20;287;285;2;0;Vitória;Internacional;2014;10/09/2014 22:00;Barradão
20;290;262;1;0;Goiás;Flamengo;2014;10/09/2014 22:00;Arena Pantanal
