rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
5;293;282;1;2;Atlético-PR;Atlético-MG;2018;13/05/2018 16:00;Arena da Baixada
5;315;262;3;2;Chapecoense;Flamengo;2018;13/05/2018 16:00;Arena Condá
5;265;276;2;2;Bahia;São Paulo;2018;13/05/2018 16:00;Fonte Nova
5;267;287;2;3;Vasco;Vitória;2018;13/05/2018 16:00;São Januário
5;263;266;2;1;Botafogo;Fluminense;2018;14/05/2018 20:00;Engenhão
5;354;327;2;2;Ceará;América-MG;2018;14/05/2018 20:00;Castelão (CE)
5;277;289;3;1;Santos;Paraná;2018;13/05/2018 19:00;Vila Belmiro
5;264;275;1;0;Corinthians;Palmeiras;2018;13/05/2018 16:00;Arena Corinthians
5;284;285;0;0;Grêmio;Internacional;2018;12/05/2018 16:00;Arena do Grêmio
6;282;283;1;0;Atlético-MG;Cruzeiro;2018;19/05/2018 16:00;Independência
6;289;284;0;0;Paraná;Grêmio;2018;20/05/2018 16:00;Durival Britto
6;327;263;1;0;América-MG;Botafogo;2018;20/05/2018 16:00;Independência
6;287;354;2;1;Vitória;Ceará;2018;20/05/2018 11:00;Barradão
6;266;293;2;0;Fluminense;Atlético-PR;2018;20/05/2018 19:00;Maracanã
6;262;267;1;1;Flamengo;Vasco;2018;19/05/2018 19:00;Maracanã
6;276;277;1;0;São Paulo;Santos;2018;20/05/2018 16:00;Morumbi
6;292;264;1;1;Sport;Corinthians;2018;20/05/2018 16:00;Arena de Pernambuco
6;275;265;3;0;Palmeiras;Bahia;2018;19/05/2018 21:00;Arena Palmeiras
6;285;315;3;0;Internacional;Chapecoense;2018;21/05/2018 20:00;Beira-Rio
7;282;262;0;1;Atlético-MG;Flamengo;2018;26/05/2018 21:00;Independência
7;289;293;0;0;Paraná;Atlético-PR;2018;27/05/2018 11:00;Durival Britto
7;327;276;1;3;América-MG;São Paulo;2018;27/05/2018 19:00;Independência
7;265;267;3;0;Bahia;Vasco;2018;27/05/2018 16:00;Fonte Nova
7;266;315;3;1;Fluminense;Chapecoense;2018;26/05/2018 16:00;Maracanã
7;263;287;1;1;Botafogo;Vitória;2018;27/05/2018 16:00;Engenhão
7;354;284;0;1;Ceará;Grêmio;2018;27/05/2018 19:00;Castelão (CE)
7;277;283;0;1;Santos;Cruzeiro;2018;27/05/2018 16:00;Pacaembu
7;275;292;2;3;Palmeiras;Sport;2018;26/05/2018 19:00;Arena Palmeiras
7;285;264;2;1;Internacional;Corinthians;2018;27/05/2018 16:00;Beira-Rio
8;283;275;1;0;Cruzeiro;Palmeiras;2018;30/05/2018 21:45;Mineirão
8;293;277;2;0;Atlético-PR;Santos;2018;31/05/2018 21:00;Arena da Baixada
8;315;354;2;0;Chapecoense;Ceará;2018;30/05/2018 21:00;Arena Condá
8;287;285;2;3;Vitória;Internacional;2018;30/05/2018 19:30;Barradão
8;267;289;1;0;Vasco;Paraná;2018;30/05/2018 19:30;São Januário
8;262;265;2;0;Flamengo;Bahia;2018;31/05/2018 16:00;Maracanã
8;276;263;3;2;São Paulo;Botafogo;2018;30/05/2018 21:00;Morumbi
8;292;282;3;2;Sport;Atlético-MG;2018;30/05/2018 19:30;Ilha do Retiro
8;264;327;1;0;Corinthians;América-MG;2018;31/05/2018 18:00;Arena Corinthians
8;284;266;0;0;Grêmio;Fluminense;2018;30/05/2018 21:45;Arena do Grêmio
9;282;315;3;3;Atlético-MG;Chapecoense;2018;02/06/2018 16:00;Independência
9;289;266;2;1;Paraná;Fluminense;2018;04/06/2018 20:00;Durival Britto
9;327;293;3;1;América-MG;Atlético-PR;2018;03/06/2018 16:00;Independência
9;265;284;0;2;Bahia;Grêmio;2018;03/06/2018 16:00;Fonte Nova
9;267;263;1;2;Vasco;Botafogo;2018;02/06/2018 19:00;São Januário
9;262;264;1;0;Flamengo;Corinthians;2018;03/06/2018 16:00;Maracanã
9;354;283;0;1;Ceará;Cruzeiro;2018;03/06/2018 19:00;Castelão (CE)
9;277;287;5;2;Santos;Vitória;2018;03/06/2018 16:00;Vila Belmiro
9;275;276;3;1;Palmeiras;São Paulo;2018;02/06/2018 21:00;Arena Palmeiras
9;285;292;0;0;Internacional;Sport;2018;02/06/2018 16:00;Beira-Rio
10;283;267;1;1;Cruzeiro;Vasco;2018;06/06/2018 21:45;Mineirão
10;289;265;1;0;Paraná;Bahia;2018;07/06/2018 20:00;Durival Britto
10;327;282;1;3;América-MG;Atlético-MG;2018;07/06/2018 21:00;Independência
10;287;315;1;0;Vitória;Chapecoense;2018;06/06/2018 19:30;Barradão
10;266;262;0;2;Fluminense;Flamengo;2018;07/06/2018 20:00;Mané Garrincha
10;263;354;0;0;Botafogo;Ceará;2018;06/06/2018 19:30;Engenhão
10;276;285;0;0;São Paulo;Internacional;2018;05/06/2018 21:30;Morumbi
10;292;293;1;0;Sport;Atlético-PR;2018;06/06/2018 21:00;Ilha do Retiro
10;264;277;1;1;Corinthians;Santos;2018;06/06/2018 21:00;Arena Corinthians
10;284;275;0;2;Grêmio;Palmeiras;2018;06/06/2018 21:45;Arena do Grêmio
11;282;266;5;2;Atlético-MG;Fluminense;2018;10/06/2018 16:00;Independência
11;293;276;0;1;Atlético-PR;São Paulo;2018;09/06/2018 16:00;Arena da Baixada
11;315;283;2;0;Chapecoense;Cruzeiro;2018;09/06/2018 19:00;Arena Condá
11;265;263;3;3;Bahia;Botafogo;2018;10/06/2018 16:00;Fonte Nova
11;264;287;0;0;Corinthians;Vitória;2018;09/06/2018 21:00;Arena Corinthians
11;267;292;3;2;Vasco;Sport;2018;09/06/2018 19:00;São Januário
11;262;289;2;0;Flamengo;Paraná;2018;10/06/2018 19:00;Maracanã
11;354;275;2;2;Ceará;Palmeiras;2018;10/06/2018 16:00;Castelão (CE)
11;277;285;1;2;Santos;Internacional;2018;10/06/2018 19:00;Vila Belmiro
11;284;327;1;0;Grêmio;América-MG;2018;10/06/2018 16:00;Arena do Grêmio
12;282;354;2;1;Atlético-MG;Ceará;2018;13/06/2018 21:45;Independência
12;289;283;1;1;Paraná;Cruzeiro;2018;13/06/2018 19:30;Durival Britto
12;327;315;0;0;América-MG;Chapecoense;2018;13/06/2018 16:00;Independência
12;265;264;1;0;Bahia;Corinthians;2018;13/06/2018 21:45;Fonte Nova
12;266;277;0;1;Fluminense;Santos;2018;13/06/2018 19:00;Maracanã
12;263;293;2;0;Botafogo;Atlético-PR;2018;13/06/2018 21:00;Engenhão
12;276;287;3;0;São Paulo;Vitória;2018;12/06/2018 21:30;Morumbi
12;292;284;0;0;Sport;Grêmio;2018;13/06/2018 19:30;Ilha do Retiro
12;275;262;1;1;Palmeiras;Flamengo;2018;13/06/2018 21:00;Arena Palmeiras
12;285;267;3;1;Internacional;Vasco;2018;13/06/2018 21:45;Beira-Rio
13;283;327;3;1;Cruzeiro;América-MG;2018;19/07/2018 19:30;Mineirão
13;293;285;2;2;Atlético-PR;Internacional;2018;19/07/2018 21:00;Arena da Baixada
13;315;265;1;1;Chapecoense;Bahia;2018;19/07/2018 19:30;Arena Condá
13;287;289;1;0;Vitória;Paraná;2018;18/07/2018 21:00;Barradão
13;267;266;1;1;Vasco;Fluminense;2018;19/07/2018 20:00;São Januário
13;262;276;0;1;Flamengo;São Paulo;2018;18/07/2018 21:45;Maracanã
13;354;292;1;0;Ceará;Sport;2018;18/07/2018 19:30;Presidente Vargas (CE)
13;277;275;1;1;Santos;Palmeiras;2018;19/07/2018 20:00;Pacaembu
13;264;263;2;0;Corinthians;Botafogo;2018;18/07/2018 21:45;Arena Corinthians
13;284;282;2;0;Grêmio;Atlético-MG;2018;18/07/2018 21:45;Arena do Grêmio
14;283;293;2;1;Cruzeiro;Atlético-PR;2018;22/07/2018 19:00;Mineirão
14;289;327;1;0;Paraná;América-MG;2018;22/07/2018 16:00;Durival Britto
14;315;277;0;0;Chapecoense;Santos;2018;22/07/2018 19:00;Arena Condá
14;265;287;4;1;Bahia;Vitória;2018;22/07/2018 16:00;Fonte Nova
14;267;284;1;0;Vasco;Grêmio;2018;22/07/2018 16:00;São Januário
14;262;263;2;0;Flamengo;Botafogo;2018;21/07/2018 19:00;Maracanã
14;276;264;3;1;São Paulo;Corinthians;2018;21/07/2018 21:00;Morumbi
14;292;266;1;2;Sport;Fluminense;2018;22/07/2018 16:00;Ilha do Retiro
14;275;282;3;2;Palmeiras;Atlético-MG;2018;22/07/2018 16:00;Arena Palmeiras
14;285;354;1;0;Internacional;Ceará;2018;23/07/2018 20:00;Beira-Rio
15;282;289;2;0;Atlético-MG;Paraná;2018;25/07/2018 21:00;Independência
15;293;267;1;0;Atlético-PR;Vasco;2018;29/08/2018 19:30;Arena da Baixada
15;327;285;2;1;América-MG;Internacional;2018;26/07/2018 20:00;Independência
15;287;292;1;0;Vitória;Sport;2018;26/07/2018 19:30;Barradão
15;266;275;1;0;Fluminense;Palmeiras;2018;25/07/2018 19:30;Maracanã
15;263;315;1;0;Botafogo;Chapecoense;2018;26/07/2018 19:30;Engenhão
15;354;265;2;1;Ceará;Bahia;2018;29/08/2018 19:30;Presidente Vargas (CE)
15;277;262;1;1;Santos;Flamengo;2018;25/07/2018 21:45;Vila Belmiro
15;264;283;2;0;Corinthians;Cruzeiro;2018;25/07/2018 21:45;Arena Corinthians
15;284;276;2;1;Grêmio;São Paulo;2018;26/07/2018 19:30;Arena do Grêmio
16;283;276;0;2;Cruzeiro;São Paulo;2018;29/07/2018 16:00;Mineirão
16;293;287;4;0;Atlético-PR;Vitória;2018;29/07/2018 16:00;Arena da Baixada
16;315;284;1;1;Chapecoense;Grêmio;2018;29/07/2018 19:00;Arena Condá
16;265;282;2;2;Bahia;Atlético-MG;2018;30/07/2018 20:00;Fonte Nova
16;267;264;1;4;Vasco;Corinthians;2018;29/07/2018 11:00;Mané Garrincha
16;262;292;4;1;Flamengo;Sport;2018;29/07/2018 16:00;Maracanã
16;354;266;1;0;Ceará;Fluminense;2018;28/07/2018 16:00;Presidente Vargas (CE)
16;277;327;0;1;Santos;América-MG;2018;29/07/2018 19:00;Vila Belmiro
16;275;289;3;0;Palmeiras;Paraná;2018;29/07/2018 11:00;Arena Palmeiras
16;285;263;3;0;Internacional;Botafogo;2018;29/07/2018 16:00;Beira-Rio
17;282;285;0;1;Atlético-MG;Internacional;2018;06/08/2018 20:00;Independência
17;289;354;0;1;Paraná;Ceará;2018;05/08/2018 16:00;Durival Britto
17;327;275;0;0;América-MG;Palmeiras;2018;05/08/2018 16:00;Independência
17;287;283;1;1;Vitória;Cruzeiro;2018;05/08/2018 16:00;Barradão
